#tail	head
HSCB	CYB5R1
LAMA5	TLN1
PCK1	CXCL8
PYGL	DUSP6
S100A9	CXCL8
TLN1	TRIP6
TBL1X	IL17RA
TBL1X	APOA1
HIST2H3A	CXCL8
HIST2H3A	MECOM
IL17RA	TBCD
ITGB1	ITGA2B
TNMD	C12orf10
YY1	DDX5
YY1	MECOM
YY1	AGER
YY1	ECEL1
NOTCH2NLA	PSMG2
NOTCH2NLA	CRACR2A
DDX5	THOC7
SUFU	PSMB5
SUFU	DPP3
SUFU	EGLN3
UPK1A	SLC7A2
C12orf10	TPM3
PSMB5	PSMG2
PSMB5	TPM3
FAM3C	HHLA2
IRS1	CXCL8
OCIAD2	SIK3
DUSP4	MTAP
DUSP4	PHKB
MTAP	PTPRH
NCR3LG1	FAM171A2
TRIP6	COPS5
XCR1	CXCL8
SLC25A15	SLC7A2
PRPF18	THOC7
PRPF18	SLU7
STX18	CLUAP1
STX18	EGLN3
HTR3A	TPM3
THOC7	SRSF11
USP22	KIF7
EGLN3	KIF7
CXCL8	ADGRG5
