#tail	head
OBSL1	SRRT
TNNC1	MEF2A
TMEM139	PAX4
AFM	SCO2
SRRT	GTF2A2
LMO1	GOLGA2
SMIM1	FAM210B
SMIM1	IGFALS
POLR2B	DDB1
RP2	SDC4
MT2A	IL1B
TM4SF20	HNF4A
CLDN7	TMEM60
LEP	HDAC1
LEP	ESR1
MYC	PRDX6
MYC	RTN4
MYC	RUNX1T1
MYC	HIST1H3G
MYC	SCO2
MYC	MAP1A
MYC	STAT5A
MYC	KALRN
FLNC	ETS2
FLNC	DDB1
RPS18	HNF4A
FGFR4	FGFR1
FGFR4	IL1B
ITIH4	SCO2
FAM210B	RTN4
SPZ1	SOX15
PKD2	TRPC1
PKD2	RHOC
PKD2	GOLGA2
PKD2	IL1B
FAM9A	PRR20D
FAM9A	RUNX1T1
ARNTL	GTF2A2
COG6	GOLGA2
TGFB1I1	KLK3
RCOR3	TRIM54
FLG	KIR3DS1
GOLGA2	EGR2
GOLGA2	ESR1
KANSL2	STAT5A
KLK3	ESR1
FGFR1	HIST1H4H
RUNX1T1	TRIM54
CDCA5	TBX3
PAX4	CSNK1E
PAX4	WAPL
PAX4	TBX3
MAPK10	HDAC1
TMEM60	MEF2A
TMEM60	STAT5A
ESR1	HRH1
ESR1	HSPA8
ESR1	HIST1H4H
TRPC1	NCDN
SCO2	IL1B
UNC93B1	HHLA2
EGR2	HIST1H3G
KIR3DS1	KLK7
HIST1H4H	IL1B
TBX3	HSPA8
HDAC1	ZMYM2
HDAC1	IL1B
HHLA2	TMEM140
UBXN10	GTF2A2
HIST1H3G	HSPA8
KLK7	GTF2A2
DDB1	MEF2A
DDB1	LASP1
