#tail	head
LCP2	ERBB4
LEPR	JAK3
RAB4A	MAPK3
ELAVL1	PAK2
ELAVL1	LRRC37B
ELAVL1	JAK3
LAMA1	COL6A3
PINX1	EPPK1
PINX1	OGA
PINX1	PFDN2
MAPK3	APP
MAPK3	GALE
PITX3	PARK7
RPS17	CEP250
IL17A	JAK3
CD2BP2	HNRNPU
YES1	AMOTL2
H1F0	HNRNPU
SIRT1	PARK7
CDK2	APP
METTL2B	SUZ12
BAK1	NME3
HACE1	PAK2
OGA	LAMP1
REPIN1	APP
MARCKSL1	RPN1
SUZ12	HIST1H2BE
RPL30	RPL3L
RPL30	HNRNPU
GALNT8	GALE
JAK3	IFNA4
JAK3	ETS2
JAK3	BRK1
APP	CEP250
APP	WRAP73
CLEC2B	KAT6B
NABP1	POLR2G
PLCB3	LAMP1
NF2	PAK2
RNF126	WRAP73
RPL18A	CEP250
PFDN2	WRAP73
PFDN2	DUSP28
PRKAG1	RPN1
HNRNPU	RPN1
PPWD1	PNN
