#tail	head
CENPI	VIRMA
STON2	DNAJB11
STON2	SF1
JOSD1	CALM2
DECR2	AKR1C3
DECR2	TSTA3
DECR2	PEX14
TRIM28	SF1
TRIM28	TRIM25
TRIM28	UBE2D3
KPNA1	SF1
HTR3E	RAB3A
HTR3E	CAMK2B
HTR3E	KCNQ2
HTR3E	UNC13B
PGAM5	TRIM25
SLC18A3	RAB3A
SUCLG1	BAAT
SUCLG1	ACSM6
SUCLG1	GLUL
KCNQ2	TRIM25
UBE2D3	FBXW8
UBE2D3	PEX14
UBE2D3	TRIM25
CHRNA6	RAB3A
CADPS	ABCB1
PADI4	GLUL
UNC13B	PAX2
ZNHIT3	XPO1
ZNHIT3	TRIM25
RAB3A	SF1
RABIF	TSTA3
ABCB1	VHL
ABCB1	KEAP1
ABCB1	AKR1C3
HSPA2	TRIM25
SF1	DNAJB11
SF1	PAXBP1
CUL5	NT5C1B
CUL5	TRIM25
CUL5	SKP2
VHL	SKP2
SKP2	TRIM25
SKP2	NT5C1B
NT5C1B	TRIM25
XPO1	TSTA3
