#tail	head
DNASE1L2	SLC25A21
SEMA7A	FUS
SEMA7A	HSPA5
SEMA7A	SRC
PRKCG	SRC
PRKCG	STAT3
RPS25	EIF4G1
PF4	LDLR
SEPT1	SEPT3
SEPT1	SEPT11
ARID2	SMARCAD1
ARID2	HIST1H3J
HIST1H3J	SRC
HIST1H3J	PPIL1
EIF3M	SRC
MAD2L1BP	MAD1L1
YWHAH	SRC
PSME1	CUL2
DHX38	FUS
DHX38	HNRNPU
PPIL1	PPP1R8
PPIL1	HNRNPU
FUS	CUL7
FUS	SPI1
CDC20	PAX2
CDC20	MAD1L1
CDC20	HSPA5
SYDE1	MAST3
RPL30	RPS13
RPL30	EED
RPL30	HNRNPU
CUL7	HNRNPU
EPS15L1	HSPA5
FOXL1	EIF4G1
FOXL1	HIVEP3
PAX2	BATF
MAST3	SRGAP2
CUL2	HNRNPU
STAT3	PHLDB2
HNRNPU	RPS13
TP63	HSPA5
TP63	EMX1
MYOG	EMX1
EED	PPP1R8
