#tail	head
RACGAP1	INCENP
MT-CO1	COX6A1
MDM2	UBC
FOXO1	YWHAZ
FOXO1	USP3
FOXO1	SEMA6D
FOXO1	CYP2C19
FOXO1	FSHR
FOXO1	APP
ATP7A	HSP90AA1
ATP7A	APOA2
TGFB1	UBC
TGFB1	WNT5A
GSTM3	GSTM1
GSTM3	NR2F2
CUL4B	HIST1H4E
CUL4B	GRK5
OSBPL9	OGA
AHCY	EZR
AHCY	FLOT2
AHCY	CTTN
HIST1H4E	APP
HIST1H4E	YWHAZ
HIST1H4E	WNT5A
GRK5	YWHAZ
GRK5	NCBP1
GRK5	AKT1
APLNR	RAB3B
OSTM1	RGS17
LYPD3	CKAP4
FXYD7	APP
INCENP	PPP2CA
INCENP	ADCY7
INCENP	HIST1H3I
HCN4	SLC24A5
HEATR1	LAMP3
HEATR1	DHX37
EWSR1	PPIB
ATP1B1	KCNS1
EZR	GPX4
EZR	CTTN
POT1	ENSA
RPS25	RAD21
RPL23A	RPL35A
RPL23A	TOP1
RPL38	RPL4
CARM1	PRCC
DHCR24	ABCG1
REPIN1	WNK2
REPIN1	APP
OGA	SRSF1
PIP5K1C	GNAQ
PIP5K1C	CD247
WNT5A	GNAQ
WNT5A	GRB2
NCBP1	PPP2CA
RAC1	RHEB
RAC1	HSP90AA1
RAC1	APP
RAC1	CD247
RPL35A	GRB2
AKT1	GRB2
AKT1	CTTN
ERBB3	UBC
GRB2	ECHS1
GRB2	INPP5J
GRB2	APP
SEC61A1	RPL39L
NEDD9	AURKA
LGALS8	KIAA0319L
KRT8	VIM
HLF	CACNA2D3
BTAF1	FOXG1
CYP2C19	GNAQ
USP4	UBC
KCNIP4	LACRT
FLOT2	ALDH1A1
DHX37	APP
MAP3K6	HSP90AA1
RPL4	TOP1
ABCG1	APP
SRSF1	PPM1G
SRSF1	SF3B6
MT2A	APP
AURKA	APP
VIM	HSP90AA1
VIM	APP
DHCR7	APP
IGHG2	HSP90AA1
STAR	APP
RAB3B	GRPR
