#tail	head
PLA2G1B	BID
PHAX	KPNA1
CDH5	IL1B
PRKN	MRPL12
PAX8	SERINC1
OSBPL8	SAFB
UBE2M	VCAM1
UBE2M	NAA10
UBE2M	IKBKE
UBE2M	EEF1B2
UBE2M	TAB1
RIPK1	TAB1
ZNRF4	POM121
RACK1	HIST1H4H
RACK1	IL7R
RACK1	RPS2
RACK1	EIF3B
IL7R	ARPC3
TADA2B	BBC3
BID	SLC22A9
BID	PNPLA6
BID	PARP1
BID	IL1B
BID	ALDH1A3
PDE6B	NME2
EEF1B2	VCAM1
EEF1B2	EIF3I
EEF1B2	ESR1
EEF1B2	EIF3B
GSS	LAP3
GSS	IL1B
GSS	SLC7A9
GSS	ALDH1A3
WDR5	BBC3
SMURF1	TAB1
CFL1	SF1
CFL1	SAFB
CFL1	CAP2
CFL1	WWP2
SLC22A9	IL1B
SLCO1B3	AR
SLCO1B3	IL1B
VCAM1	EIF3I
VCAM1	RPS2
EPS15	RAD23A
MTG2	MRPL12
SF1	WWP2
SF1	SAFB
SF1	EIF3I
SF1	DHX9
TCF3	ESR1
SAFB	PRPSAP2
ESR1	NR6A1
ESR1	HIST1H4H
LAP3	ALDH1A3
LAP3	NME2
PLD1	PRR5
DPEP1	GGT3P
HIST1H4H	DHX9
HIST1H4H	ALDH1A3
CPD	IL1B
IGFBP5	AHNAK2
IL1B	PARP1
DHX9	PARP1
ACY1	NADSYN1
GGH	NADSYN1
PARP1	ALDH1A3
MAP2K3	TAB1
HIST1H2AI	RPS2
