#tail	head
YTHDC1	NXF2B
MRPL48	YBX1
AK7	ACSM4
PABPC1	DHX9
PABPC1	PPP2R1A
PABPC1	YBX1
PABPC1	U2AF1
PABPC1	SRSF4
PABPC1	HIST1H3I
POU4F2	LGALS13
CCNL2	SRSF3
PPP2R1A	CCDC6
PPP2R1A	RPL13A
ARID5A	PML
ARID5A	POU1F1
ARID5A	LEF1
CCDC6	HIST1H3I
RPL13A	U2AF1
NXF2B	SRSF4
WRN	DHX9
UNK	YBX1
U2AF1	RNPS1
ACSL6	NT5C1B
G6PC2	SLC37A2
RNPS1	SRSF4
RNPS1	DHX9
CSDE1	LEF1
CSDE1	ATP6V1B2
CSDE1	YBX1
SNRPN	SRSF3
SNRPN	DHX9
SNRPN	CPSF1
YBX1	PAXIP1
LEF1	DBP
LEF1	HIST1H3I
LEF1	JADE1
LEF1	SRSF3
TTC8	BBS1
SRSF3	CPSF1
GTF3A	JADE1
PAXIP1	HIST1H3I
PAXIP1	PML
CPSF1	DDX39A
DHX9	SRSF4
THAP11	RTEL1
HIST1H3I	KRT18
WDR61	HBS1L
KRT18	NIPSNAP2
