#tail	head
MIS18A	CENPI
NOX4	DHDH
NOX4	UROD
GGT7	GSTO2
CENPI	HIST1H2BL
CENPI	FBL
HNF1A	PAX4
HIST2H2AA4	CENPX
HIST2H2AA4	HIST1H2BL
HIST2H2AA4	POLR2C
HIST2H2AA4	GPS2
SF3B3	RNPS1
KDM4A	HIST1H2BL
ATXN2L	RPRD1B
ATXN2L	TMPO
MSR1	NPC1
CETP	EWSR1
SLC13A2	GRIN2D
HNF4A	RBM19
HNF4A	SLPI
HNF4A	CDH1
HNF4A	SRSF4
HNF4A	EWSR1
HNF4A	GRIN2D
CDH1	TWF1
CDH1	NDRG1
RNPS1	PICK1
RNPS1	HOXD4
HIST1H2BC	POU3F2
ABCE1	EWSR1
ELANE	SLPI
SYMPK	SRSF4
PAX4	KDM3A
POLR2C	HOXD4
CPSF3	SRSF4
NECTIN4	PICK1
WDR1	RPRD1B
WDR1	GSTO2
RPRD1B	EWSR1
EWSR1	SEC24C
