#tail	head
RDH10	AKR1C2
TNFRSF1A	FGFR1OP2
SFPQ	PPME1
SFPQ	SNRPA
SFPQ	PHGDH
SFPQ	GAPDH
HIST1H2BG	HDAC1
HIST1H2BG	KIF20A
GNAZ	LRRK1
GNAZ	PIP5K1A
YES1	FGFR1OP2
YES1	ABL1
YES1	ABI1
YES1	EPHA5
YES1	IGKV2D-40
YES1	PTPRH
BUB3	PHGDH
H2AFJ	ERCC6
H2AFJ	HDAC1
PPARGC1A	EGFR
HSPD1	HDAC1
HSPD1	EGFR
HSPD1	SAFB
HSPD1	GAPDH
HSPD1	ABL1
DVL3	PIP5K1A
DVL3	FGF2
DVL3	WNT5B
H2AFB1	ITGA2B
H2AFB1	KDM6A
H2AFB1	HDAC1
IGLV3-27	SH2D2A
IGLV3-27	ABI1
IGLV3-27	FGF2
SH2D2A	GNG3
SH2D2A	IGKV2D-40
SH2D2A	ABI1
CYP21A2	DHDH
DDX46	SYMPK
ABI1	ABL1
ABI1	PAX4
ABI1	PIP5K1A
PPME1	PHGDH
PPME1	GAPDH
TACR1	LNPK
PHGDH	EGFR
PHGDH	ZNF598
PHGDH	SDC4
KMT5A	HDAC1
ATAD3B	ZNF598
ZNF598	PSMD4
ZNF598	KTN1
FGF2	FGFR1OP2
FGF2	ERCC6
GAPDH	HSP90AB1
GAPDH	SDC4
GAPDH	DUSP12
GAPDH	NMNAT1
MKX	HSP90AB1
IGKV2D-40	PIP5K1A
IGKV2D-40	GNG7
CD36	ITGA2B
CXCR1	WNT5B
CXCR1	CCL22
CXCR1	GNG3
CXCR1	PAX4
FGFR1OP2	PIP5K1A
FGFR1OP2	GNG3
FGFR1OP2	EGFR
CUL5	PSMD4
SDC4	PIP5K1A
SDC4	SDC3
RAB39A	BECN1
LIG3	PTPRH
LIG3	CCNH
SDC3	MCRIP1
EGFR	ABL1
EGFR	DUSP12
ABL1	PSMD4
ABL1	ERCC6
ABL1	LRRK1
HDAC1	HIST2H2AC
MCRIP1	PTPRH
MCRIP1	EGLN3
EGLN3	PSMD4
CCNH	DUSP12
NR3C2	HSP90AB1
