#tail	head
PMS1	USP5
HNRNPK	MCM2
LRRC8D	PITX2
IRAK1	MEF2A
TMX2	STX12
PYGL	CATSPER1
PYGL	CHRNA4
CHRNA4	PON1
CALCB	ADORA2A
CALCB	FZD2
GCG	APP
GCG	IL6
GCG	ADORA2A
GCG	DRD3
TRIM46	SP1
TRIM46	UBP1
TRIM46	APP
TLR5	IL6
DDX19B	RAE1
DLL4	DRD3
DLL4	ADORA2A
APC	NUPL2
APC	SP1
CYP27A1	ADORA2A
PRKDC	RFC2
PRKDC	MCM2
SP1	STX12
SP1	PITX2
SP1	SMAD4
SP1	IL6
SP1	FZD2
SP1	PAK1
APP	PAK1
APP	GNG11
APP	LRRC8B
APP	SMAD4
APP	PLN
PAK1	GNG11
SMAD4	MEF2A
CTNNA1	MCM2
DRD3	NPPA
HIST1H2AE	IL6
IL6	ADORA2A
NPPA	ADORA2A
DLG2	MEF2A
GNG11	ADORA2A
