#tail	head
CREB3L1	SCGB1D1
KDM8	HIST1H3I
BPNT1	AMPD2
BPNT1	TRAF6
NUP62	SSC5D
DCAF8	PTPN21
DCAF8	AMPD2
EMP1	TMEM160
TEC	PIK3CA
HIST2H3A	KDM1B
CDKN1B	SOX9
CDKN1B	PIK3CA
CDKN1B	UBP1
CDKN1B	LEP
KIAA1551	SACS
MED11	FBXW7
MED11	PLIN1
FBXW7	NFE2L1
ZNF326	CNTROB
NAA50	MBD5
DGKG	SACS
ATP5PO	GOLT1B
FOXS1	FOXC1
GLUD2	PADI6
SOX9	ZIC2
SOX9	RSBN1
SOX9	CHL1
SOX9	MDFI
SOX9	HSPA1A
CD40LG	PRLR
CD40LG	INS
CD40LG	ATP5PF
USP19	PSMD2
HSD17B10	TPI1
AKR1B1	IL1B
CLTC	RAD18
CLTC	ZIC2
CLTC	SORBS1
CLTC	SHKBP1
ALDOA	SLC30A6
ALDOA	SORBS1
PIK3CA	DERL1
PIK3CA	UBA52
CLTCL1	UBA52
AMPD2	GPD2
RPRD1A	FGB
CD79B	PDE3B
HIST1H3I	GTF3C5
HIST1H3I	SRRM2
HIST1H3I	RBM25
ZNF284	ZNF223
FOXF2	PLXNA2
FOXF2	TNIP2
PHF5A	SRRM2
CFB	LEP
CFB	SACS
SNRNP40	INS
SORBS1	AP2A1
SORBS1	PLIN3
SORBS1	SHKBP1
SORBS1	TBC1D4
ATP5PF	MT2A
TNIP2	GRWD1
TNIP2	GPKOW
TNIP2	OTUD5
TNIP2	ATP5IF1
MED18	INS
MED18	MED30
MED18	PLIN1
LY96	UBA52
PCK1	LDHA
PCK1	CDKN3
PCK1	MED30
LEP	APEX1
LEP	MED6
SRY	ZIC2
TRAF6	CD81
PINK1	HSPA1A
CPNE6	CACNB2
RAD18	HSPA1A
UBA52	AP2A1
UBA52	NXF1
UBA52	PSMA6
MYOD1	RAB5B
MYOD1	SRF
ADCY2	F2RL1
PRNP	SLC30A6
CPS1	HSPA1A
SHKBP1	NPM1
SHKBP1	POTEE
SHKBP1	DCP1B
ZIC2	RBM12
EPOR	STAT6
MED30	TADA2A
MED30	EHMT2
HP1BP3	RPL10
PHAX	HSP90B1
AP2A1	INS
TADA2A	SRRM2
NPM1	CD81
NPM1	RPL10
NPM1	MTHFD1L
UBP1	INS
CACNA2D3	STAT6
IL12RB1	IFNA4
NFE2L1	CTNND1
GJB7	INA
CTNND1	MT2A
ZC3H18	SRRM2
CST7	POTEE
MT2A	HSPA1A
RBM25	INS
CACYBP	HSP90B1
INS	SLC16A13
INS	RPL10
