#tail	head
GRIK1	FXYD2
FAM227B	ALDH3A1
FOXO4	BTG2
FOXO4	AGBL4
FOXO4	GAD2
E2F1	LEF1
MOGAT1	ACSM2B
MCCC2	SLC25A16
GOLGB1	LEF1
MACO1	HTT
SRRM4	NOG
HIST2H4B	DNTTIP2
HIST2H4B	HIST1H2BK
RAP1GDS1	VCL
BDNF	NFE2L1
BDNF	INPP5J
BDNF	IGKV1-16
SQSTM1	GABARAP
SLC2A8	PYGM
HACD1	ARG1
ZFP36L2	ESR2
SUV39H2	CGGBP1
ALDH3B2	ENTPD3
CAVIN2	NOG
PLEKHF1	ESR2
FXYD3	KCNH1
BDH1	FAR1
FXYD7	NR1H4
FXYD7	KCNIP1
FXYD7	NEFL
CD79A	GNG8
CD79A	WFDC2
NINJ1	CYB5R3
ESR2	LSG1
IL12A	PYGM
TNIP2	MOV10
GPSM3	GNB2
BRWD1	EIF3E
KPNA1	LEF1
TP53	GNB2
IGKV1-17	GNB2
MOV10	HNRNPH3
UBQLN1	EPS15
IL1RL1	FCGR1A
ALDH1L2	NOG
GAP43	LEF1
GNB2	ATF2
FXYD2	HTR3E
KCNK18	LEF1
PCP2	RXFP4
PYCR3	PDE7B
USP4	RAD50
RIPK1	MAVS
YES1	CALM1
TAS2R5	LEF1
TNF	PTGER4
TNF	GAST
SPP1	CYB5R3
SRC	TFRC
CDC37	HSF2BP
EGLN3	EGF
NOG	RAB3B
NR2F1	LEF1
LEF1	RABL6
