#tail	head
ZWINT	PPP2CA
CDC5L	FERMT1
CDC5L	TLN1
CDC5L	LYN
CDC5L	MOV10
CDC5L	FGF12
CRK	IGKV2D-40
CRK	PCDHA5
CXCL10	CCR4
ATF1	EIF4H
TLN1	DLG3
TLN1	DLG4
TLN1	OGA
TLN1	PIP5K1C
RAB7A	CNTRL
RAB7A	DCTN1
SLC6A7	SLC12A3
BTK	LYN
BTK	IGHV4-39
BTK	ERBB2
ATP6V1F	UBR5
PPME1	PPP4R2
SENP3	NTRK1
SLC4A9	CLTRN
SLC4A9	SLC13A3
IGHV4-39	ERBB2
RAB11A	TUBB4A
RAB11A	ETS2
PLK4	TUBG1
DHX15	ELAVL1
DHX15	PRCC
DHX15	TMPO
DHX15	CRY2
DHX15	PPIH
DHX15	DHX38
NCAPH2	HIST1H2BD
NCAPH2	SMC2
BBX	ELAVL1
POU2F1	H2AFX
POU2F1	INTS5
PSMD7	TRIM5
CCR4	GNG7
CCR4	GHITM
P4HB	NTRK1
P3H2	COL5A1
P3H2	COL6A5
RPS10	MOV10
RPS10	TUBG1
KDM1A	ZMYM2
KDM1A	ZNF451
SCN3A	DLG4
ELAVL1	LARP1B
ELAVL1	DLG4
ELAVL1	RRM2
MYL7	CACNA1E
TUBB4A	LYN
TUBB4A	TUBG1
ENTPD3	NDUFC2
MOV10	TBC1D16
MOV10	RNASEH2A
SRPK1	OGA
OGA	GTPBP1
PGF	EPO
IRS1	CNTRL
PIP5K1C	ZMYM2
PIP5K1C	FGF1
CLTRN	ATP1A3
CLTRN	SLC17A2
NTRK1	STAT2
NTRK1	HSD17B4
NTRK1	EIF4H
NDUFC2	SPPL2B
C6orf141	KIAA0586
CA1	UPF3A
VSX1	ELP4
VSX1	CACNG2
ZMYM2	SDF4
GSTM1	EPO
IGLV1-44	LYN
IGLV1-44	ERBB2
ERBB2	STAT2
KCNJ12	DLG4
EPO	INPP5B
EPO	GNG7
GGT5	DLG3
DTYMK	RRM2
SLC13A3	RRM2
SLC17A2	RRM2
CNTRL	GNG7
DHX38	PPIH
LYN	INPP5B
