#tail	head
CACNG5	ATP2B4
ELAVL1	RACK1
ELAVL1	SF3B5
ATP2B4	CD47
ATP2B4	SLC4A1
RPS14	NELFCD
UQCRB	COX6B1
UQCRB	VNN3
F11R	UBA52
F11R	MBLAC2
MT-ND4	NDUFB4
RACK1	RHOA
SRSF5	SF3B5
SRSF5	MAZ
SRSF5	SON
STRN4	RFX1
GLI3	PSME3
GLI3	PSMD4
GLI3	PSMD10
UBB	PSMD10
UBB	PSMD4
UBB	GLI2
UBB	RHOA
UBB	SNX9
UBB	UBA52
MAG	RHOA
MAG	COL9A2
NELFCD	COX6B1
NDUFAF2	NDUFS8
NDUFAF2	SON
MAZ	UBQLN1
MAZ	PSMD3
UBA52	NAP1L1
UBA52	GLI2
UBA52	CLTCL1
UBA52	RHOA
UBA52	SNX9
PTK2	COL9A2
RHOA	MYH9
RHOA	PSMD10
RHOA	OPHN1
SON	SRPK3
PSMD10	PSMD4
PICALM	MYH9
PSMD3	PSMD4
TTC16	MYH9
TRIM14	MYH9
SLC4A1	CD47
