#tail	head
HAND1	C12orf50
BRIP1	FOXF2
BRIP1	OTC
BRIP1	RAD50
BRIP1	POLR2C
PAX8	LRMDA
PAX8	RELCH
EPHB2	EYA4
CDK7	RAD50
CDK7	MCM2
CDK7	LIG3
CDK7	MKI67
ESPL1	LYPD4
RAD50	HIST2H4A
RAD50	POLR2C
RAD50	MYC
RAD50	SUMO2
RAD50	LIG3
RAD50	UIMC1
ATP5F1A	BASP1
ATP5F1A	STAU1
ATP5F1A	MCM2
DMAC2L	ATP5MC3
HIST2H4A	ARID4A
HIST2H4A	MCM2
HIST2H4A	POLR2C
HIST2H4A	TAF1A
HIST2H4A	SMN2
OTC	EYA4
RPS3	STAU1
RPS3	RPP25
MYC	KMT2D
MYC	PRKDC
MYC	EYA4
MYC	POLR1D
MYC	MCM2
MYC	PIK3CA
MYC	LIG3
RPP25	RABL2A
RPP25	KRT15
CDK1	MKI67
CDK1	STAU1
ARID4A	FOXF2
PHGDH	BASP1
KRR1	DCAF13
PRKDC	STAU1
PRKDC	MCM2
PRKDC	MKI67
POLR2C	LIG3
POLR2C	TTF2
TGOLN2	RELCH
STAU1	MCM2
MKI67	KMT2D
MKI67	MCM2
