#tail	head
MARF1	RBL1
CSF2RA	IFNA14
CSF2RA	IL12A
KMT5B	HIST2H4B
EIF2D	CKAP5
EIF2D	OGA
WARS	OGA
WARS	PRKAB1
PLCZ1	IPMK
KRAS	PPP2R5D
KRAS	BTRC
KRAS	ELK1
KRAS	RPL18A
MAX	HSPA4
MAX	CDC6
MAX	PRKAB1
GOLGB1	FOXA1
GOLGB1	GAK
VIM	YWHAE
VIM	MAP1LC3A
IL20RA	CDC6
MYC	GAK
MYC	SET
MYC	CEP192
MYC	HIST1H3D
MYC	ELK1
MYC	CDC6
MYC	BTRC
MYC	PPIP5K2
AQP9	HSD3B2
AQP9	IL12A
AQP9	HARS
AQP9	UBE2D2
PRKACA	BTRC
PRKACA	PPP2R5D
PPP2R5D	NEK1
PPP2R5D	OGA
PPP2R5D	CSNK1G3
SET	YWHAE
SET	PRKAB1
DDX31	HIST1H3D
HIST2H4B	HIST1H3D
HIST2H4B	IFNAR1
TTC1	HARS
OGA	GAPDH
OGA	HIST1H4J
CKAP5	BTRC
CKAP5	YWHAE
EXOSC4	PRKAB1
PRKAB1	CNOT11
IL6ST	IFNAR1
IL6ST	IL12A
IL6ST	IFNA14
IL6ST	IL4R
GAPDH	MAP1LC3A
GAPDH	YWHAE
PLCB1	IPMK
NEFL	SLC20A2
SNRNP70	GAK
BAAT	GGT5
RBL1	PPP2R3B
RBL1	YWHAE
RBL1	HIST1H3D
PRLR	IFNA14
PRLR	IL12RB1
PRLR	IL12A
TAGLN3	FABP5
IL12RB1	IFNA14
IL12RB1	IFNAR1
IFNAR1	HIST1H4J
IFNAR1	IL4R
IFNAR1	FOXA1
HCAR3	FOXA1
CTPS2	NUCB1
PPP2R3B	CDC6
ELK1	ZNHIT2
ELK1	COMMD5
HIST1H3D	HIST1H4J
HIST1H3D	YWHAE
HIST1H3D	HSPA4
HIST1H3D	BRMS1
HIST1H3D	FOXA1
IFNA13	IFNA14
YWHAE	BTRC
YWHAE	HSPA4
HIST1H4J	FOXA1
IL4R	IL12A
