#tail	head
GAA	B4GALT7
HIF1A	NRF1
HIF1A	SNCB
TOR1AIP2	RAB15
JUP	GRK5
FBXL15	UBE2O
IL19	IL12RB1
SNW1	CSK
SNW1	ACTB
SNW1	MTUS1
EXOC1	SNAPIN
CCDC78	HEY1
ALG5	PKD2
NEURL4	RALGAPB
NEURL4	ARHGAP31
NRF1	BSN
NRF1	PCNA
NRF1	ZEB1
CEP104	MB21D2
UBE2V1	PLEKHB2
F2	PKD2
RAB3C	REPIN1
ERBB2	WASF1
ERBB2	CELSR3
ERBB2	HNF4A
FN3K	NAPG
ZEB1	GATA1
ZEB1	SLC23A3
PKD2	F2RL3
HSD17B8	HNF4A
HSD17B8	LEF1
ACTB	SHBG
LDHB	NAPG
NAPG	PCNA
NAPG	SRC
NAPG	SPRTN
REPIN1	TRAPPC3
REPIN1	LEF1
HNF4A	HEY1
ZNF574	UBE2O
CSK	PTPRE
GRK5	UBE2O
TCTN3	ERO1A
WASF1	LEF1
SRC	GNG7
SRC	ACP1
LYN	ERO1A
TYK2	IL12RB1
UBE2O	XAGE1A
PCMT1	DEGS1
PCMT1	AAR2
IRF2BP1	NKX2-1
SLC39A8	GATA1
PLXNB1	NKX2-1
