#tail	head
NBAS	ARCN1
LEPR	IFNG
LEPR	KITLG
AGBL2	IARS
AGBL2	GLUL
AGBL2	CEP70
AGBL2	DARS
ARCN1	SURF4
IFNG	KRT18
IFNG	CGA
IFNG	EDN1
COL27A1	ITGB2
COL27A1	LAMC1
SORBS1	CHRNA9
SORBS1	PAWR
SORBS1	OCRL
SORBS1	CGA
MYO1E	OCRL
MYO1E	SRF
OCRL	IGLV3-19
OCRL	CALM1
GDA	AAR2
TYMP	PI4KA
ITGB2	PRKCA
ITGB2	TM4SF18
YWHAG	PRKCA
YWHAG	AAR2
CHRNA9	LNPK
CHRNA9	PRKCA
SH3BGR	SRF
SH3BGR	DEFB127
IGLV3-19	FLT3LG
IGLV3-19	PRKCA
IGLV3-19	CALM1
IGLV3-19	BRK1
DARS	AAR2
PRKCA	KRT18
PRKCA	EDN1
IKBKG	KRT18
FLT3LG	KITLG
FLT3LG	BRK1
UNC93B1	TM4SF18
DEFB127	FAM174A
CLEC11A	KITLG
EDN1	SRF
CEP70	IQCE
AAR2	KRT18
KITLG	BRK1
