#tail	head
DARS	EGFR
KRTAP6-1	OTX1
OTX1	KRTAP4-2
CAMK2D	CHRNB2
CAMK2D	CHRNA4
CAMK2D	CEACAM1
CAMK2D	SLC4A5
CAMK2D	TRPV4
CAMK2D	CNGB1
CAMK2D	TRPV1
NR1I2	CYP3A4
NR1I2	IGF2
NR1I2	CEACAM1
NR1I2	PRL
NR1I2	LEPR
NR1I2	ABCG2
HOXB9	IGF2
HOXB9	PRL
HOXB9	KRTAP4-2
SLC4A5	CNGB1
SLC4A5	CHRNB2
SLC4A5	CHRNA4
EGFR	ABCG2
EGFR	TRPV1
EGFR	CEACAM1
RHO	TRPV1
RHO	CNGB1
RHO	CHRNB2
RHO	CHRNA4
RHO	TRPV4
CNGB1	CHRNB2
CNGB1	TRPV4
CNGB1	TRPV1
CNGB1	CLCA3P
CNGB1	CHRNA4
IGF2	ALDH1A2
IGF2	CYP3A4
IGF2	CXCR2
IGF2	PRL
IGF2	CHRNB2
IGF2	ABCG2
IGF2	CHRNA4
CHRNA4	PRL
CHRNA4	CLCA3P
CHRNA4	ABCG2
CHRNA4	CHRNB2
CHRNA4	LEPR
CHRNA4	CYP3A4
CXCR2	KCNN4
CXCR2	CHRNB2
CXCR2	LEPR
CXCR2	PRL
CXCR2	TRPV1
ABCG2	PRL
ABCG2	CHRNB2
ABCG2	CYP3A4
PRL	TRPV1
PRL	CYP3A4
PRL	LEPR
PRL	CHRNB2
PRL	KCNN4
CLCA3P	CHRNB2
CLCA3P	TRPV1
CLCA3P	TRPV4
TRPV1	CHRNB2
TRPV1	TRPV4
TRPV1	KCNN4
KCNN4	CHRNB2
LEPR	CHRNB2
ALDH1A2	CYP3A4
CHRNB2	CYP3A4
