#tail	head
FBXO30	UBE2H
EP300	ESRRA
EP300	BTRC
EP300	RAN
EP300	CAT
EP300	CHD3
UBE2H	TP53
CHD3	SRSF7
CHD3	ZNF219
CHD3	TSC22D1
CHD3	RPL15
TP53	RCOR1
TP53	CAT
TP53	TP53BP2
TP53	SLCO1B1
TP53	TECTA
RPA3	USP10
SETD1A	HIST1H3F
SETD1A	CAPZA1
IGF2	RCOR1
SLCO1B1	CA7
SLCO1B1	PAPSS1
ESRRA	RARA
FLCN	CCT2
LHX3	REPIN1
NUDCD1	RPP25L
NUDCD1	MAGED1
REPIN1	RARA
REPIN1	FGF1
PPP6R1	USP10
UGT2B15	PRDX4
B3GALT4	PLOD3
COPA	NTRK1
SSH3	ITK
PTPRZ1	NTRK1
PTPRZ1	GAPDHS
LMO7	HIST1H3F
PRDX4	SULT1C3
NTRK1	CCT2
NTRK1	PAPSS1
USP10	ANKRD52
HOMER1	ZUP1
RCOR1	FGF1
RARA	RPL15
RARA	HIST1H3F
MAPK8	CAT
ZUP1	CAT
SRSF7	GABARAP
SLC26A11	PAPSS1
COG8	MTNR1B
PAPSS1	CHST13
RPL15	GABARAP
TEFM	RPP25L
