#tail	head
SEMA7A	CEBPA
TNFRSF1A	NOS2
TNFRSF1A	PRKCZ
TNFRSF1A	CXCL8
TNFRSF1A	EZR
LUC7L3	CEBPG
CAMK2D	CHRNA9
CAMK2D	CACNB3
NUPR1	COL5A1
EGF	JUN
PCK1	MDH2
TRAPPC13	COG6
TACC1	FAM50B
TACC1	TOMM22
SFXN1	SMC3
SFXN1	TOMM22
SFXN1	SYAP1
CHRNB2	TNNC2
TOMM22	CDCA3
BPIFA1	ALKBH4
ACTB	DDX3X
ACTB	CEP250
ACTB	EZR
CCDC87	CDR2
FBF1	FAS
CHRM3	GNA15
CHRNA9	CACNB3
CEP57L1	TRIM54
CEP57L1	GOLGA1
DDX3X	JUN
MSN	EZR
MSN	STK38L
CEBPA	TNNC2
CEBPA	SYNJ1
CHAT	PRKCZ
SMC3	JUN
HDAC4	TUBB3
TAC1	TACR2
PRKCZ	CACNB3
SUCLG2	BCKDHB
MAGOH	STK38L
DPH1	JUN
JUN	TUBB3
CDCA3	LAMTOR4
RPL15	RPL31
