#tail	head
PTBP3	PCM1
NCOR2	CALM1
NCOR2	HIST1H2AJ
NCOR2	CSNK2A1
NCOR2	HIST1H3H
NCOR2	TRIM25
LARP1	BHLHA15
RTF1	CSNK2A1
ZNF830	HIST1H3H
CYSRT1	ZNHIT1
HIST1H3H	MAD2L1
HIST1H3H	SRP72
PPP2R1A	SAMHD1
PPP2R1A	SCD5
PPP2R1A	DLD
LINC00526	AES
BHLHA15	HIST1H1T
LGMN	TLR9
UGT1A4	EXT1
UGT1A4	UGDH
KLF12	ATP2B2
MAX	UGDH
MAX	CSNK2A1
MAX	RNF2
MAX	TRIM25
MAX	LAP3
MAX	NOL7
ZNHIT1	NFRKB
IRX2	AES
MAD2L1	NUDC
MAD2L1	PPP2R5D
IGLC3	CALM1
IGKV5-2	ERBB4
IGKV5-2	CALM1
SHANK2	MAFG
TMOD1	CALM1
SPP1	CALM1
XPC	CSNK2A1
NELFB	POLR2C
MDH2	ADH4
MDH2	SORBS1
SRP72	TRIM25
SRP72	HSPB1
PHGDH	MYH9
PHGDH	RNF2
IRAK4	TLR9
UGT2B15	UGDH
RNF2	CSNK2A1
RNF2	CHD4
BRCA1	HIST1H2AJ
PPOX	CAT
TNNI3	TRIM25
DLD	POLR2C
DLD	CDK9
POLR2C	INTS10
POLR2C	HIST1H2AJ
TMEM168	ATP2B2
CALM1	MYH9
RHOA	MYH10
KLF5	POU3F1
HIST1H1T	MECP2
ATP2B2	SORBS1
SUPT5H	CSNK2A1
MYH10	CDK9
MYH9	TRIM25
