#tail	head
BRPF1	HIST1H2AL
ARHGAP23	RHOA
HIST1H2AL	NOG
CSN2	RAC1
ABCG2	CTNNB1
NOG	CTNNB1
NOG	LMO1
NOG	HIST1H2AK
PTP4A1	EPHA8
SAPCD1	CTNNA2
MAPK9	CTNNB1
MAPK9	MAP3K2
TEX14	DDIT4L
HIST1H2BJ	TAF1B
SSR4	BAP1
RPS3	DYNLL1
STAT5B	HTRA2
STAT5B	JUN
PCBP1	POLR2H
PIK3CD	FRS3
ARHGEF3	RHOA
SET	PPL
SET	JUN
SET	HNRNPL
LRRC18	FRS3
TIE1	TPTE2
TIE1	DUPD1
DLL1	CTNNB1
EPB41L5	PITX2
RAC1	RHOC
RAC1	ACTA1
PCDHA7	APP
PITX2	SLC30A8
PITX2	MSS51
APP	ABL1
APP	RBPJL
APP	SELENOK
GPBP1L1	EIF3H
RHOA	MYH11
INF2	MYH11
MYOG	CTNNB1
