#tail	head
PTP4A3	SEC63
GPS1	MCRS1
MFN2	CASP4
TPX2	HIST1H3A
ERCC1	PARP2
ERCC1	CDK7
EIF6	MCRS1
EIF6	HPF1
ACTB	TFPT
ACTB	HIST1H3A
ACTB	DST
ACTB	HIST1H4D
ACTB	SEC23A
CLOCK	HIST1H3A
CLOCK	VPS51
CLOCK	HIST1H4D
ALDH3A2	ALDH3B1
RBPMS2	DND1
UBE2I	PRPF40A
PTPN9	C5AR2
PTPN9	CDK7
KDM1A	HIST1H4D
KDM1A	HIST1H2AB
HNRNPL	TSEN2
HNRNPL	UBA52
HNRNPL	CSTF2
HNRNPL	MAPK6
HNRNPL	FOLH1B
DDX6	IK
DDX6	SEC23A
CABP5	IKZF3
HPF1	H1F0
HPF1	PARP2
RARS	FOLH1B
SRCAP	SMARCC2
ALDH1B1	ECI2
H1F0	HIST1H3A
H1F0	HIST1H2AB
RPLP1	UBA52
UBA52	RPL29
UBA52	RPL24
UBA52	MDC1
UBA52	HIST1H2AB
UBA52	POLE2
UBA52	PARP2
VPS18	TSEN2
PANK3	ECHS1
ATXN1L	HSFX2
ATXN1L	CLUHP3
PRNP	PRKAA1
CYP2G1P	ALDH3B1
SEC63	CTR9
COG7	VPS51
KYAT1	TRIP13
HIST1H4D	PHF19
HIST1H4D	HIST1H3A
CASP4	USP9X
DND1	HSPA1L
VPS51	TGOLN2
IKZF3	MCRS1
SPPL2B	SLC19A2
ECI2	HADHB
SMARCC2	HIST1H3A
HADHB	ECHS1
HADHB	GLYATL2
PNPLA3	PIGN
CYB5R3	CPVL
LINC00574	STK16
DYNLT1	TUBA3C
LRRC46	POLE2
TRIP13	CLUHP3
CTR9	HIST1H3A
MDC1	HIST1H3A
