#tail	head
CREB3L1	GTF2E1
SNX18	IL7R
PLPP2	DGKG
LIFR	IL17RA
PIK3R6	PIP5K1C
GNG4	FFAR3
GNG4	C3
AMPH	PIP5K1C
TNXB	SRC
TNXB	AGRN
APOE	GJC2
APOE	LRP12
APOE	DMD
SLC10A1	RARG
ITGB1	PIP5K1C
ITGB1	ITGA10
ITGB1	COL19A1
EEF2	RPS6KA1
IL17RA	RPS6KA1
DDX31	ZNF2
COL16A1	P4HA2
COL16A1	COL7A1
COL16A1	SDC1
COL1A1	TNC
AP4E1	GJC2
AP4E1	DMD
PIP5K1C	PDGFRB
PIP5K1C	SDC1
NLRC4	PLA2G4F
DMD	SLC24A5
YBX1	AGO2
PLA2G4F	MBOAT1
PLA2G4F	ITIH1
PLA2G4F	FAM71E2
AGO2	HIST1H2BH
AGO2	SRC
GTSE1	SNX9
SRC	SDC1
SRC	GNB2
SRC	MCM5
STAT2	TOP1
SDC1	COL19A1
SNX9	LRRK2
POLR2H	HIST1H3D
POLR2H	HIST1H2BH
POLR2H	SNRNP40
ZNF771	STK38L
HIST1H2BH	ITGA2B
