#tail	head
FHL2	SMARCD3
GLRX3	MAPK6
GLRX3	SRRM2
GLRX3	EWSR1
MCM7	SNW1
MCM7	NOG
MCM7	MYO1C
ILVBL	MAPK6
ILVBL	INTS1
TXNL4A	SNW1
OMA1	NOG
SNW1	SEC24C
SNW1	JUN
SNW1	RTCB
SNW1	RAI14
SNW1	FAM126A
MAPK6	OSTF1
MAPK6	HNRNPD
HNRNPM	HNRNPA1
HNRNPM	U2SURP
HNRNPD	SH3GL1
HNRNPD	SRRM2
HNRNPD	JUN
DDX39B	U2SURP
DDX39B	MYO1C
SH3GL1	RAI14
SH3GL1	PROCR
SRRM1	EWSR1
SRRM1	HNRNPA1
HNRNPA1	EWSR1
HNRNPA1	SRRM2
HNRNPCL2	ERICH3
INTS1	ZNF143
IL31RA	PROCR
NUP58	DDX20
DDX20	GEMIN5
ESR1	JUN
GNAI2	SRRM2
PROCR	SEC24C
PROCR	SRRM2
SEC24D	JUN
RPRD1A	JUN
RPRD1A	EWSR1
EWSR1	SEC24C
EWSR1	PRCC
GABPB2	SEC24C
SRRM2	FAM126A
RPN1	SEC24C
