#tail	head
GEMIN4	RRBP1
HNF1A	PNMA1
HNF1A	NRP1
HNF1A	LMO2
HNF1A	CP
HNF1A	RBBP8NL
MTHFR	TP53
GIGYF1	TIAM1
GIGYF1	FAM124B
GIGYF1	XPO1
SFPQ	FMNL2
EP300	PCK1
EP300	EGR1
EP300	MEIS1
EP300	BUB1B
RINT1	FAM124B
PCK1	MAT2A
HIST1H3H	MAT2A
HIST1H3H	MEIS1
HIST1H3H	ITGA4
HIST1H3H	ELP1
RAB9A	TFRC
RAB9A	DUSP22
TP53	RARA
TP53	SEMA6D
TP53	XPO1
TP53	TUBB2A
TP53	TSC22D1
TP53	TPT1
TP53	ERBB4
TP53	AKR1B10
TP53	NAP1L1
MEIS1	HIST1H3F
MEIS1	LMO2
MEIS1	TIAM1
MEIS1	HOXB8
SCHIP1	LMO2
SCHIP1	XPO1
SCHIP1	PRPF18
CBR1	ELP1
CBR1	LACC1
RRBP1	HIST1H3F
TIAM1	GRIN2B
TIAM1	RHOU
EN1	HOXB8
EN1	ERBB4
BUB1B	PSMD12
EGR1	PDZD8
ARHGAP1	RHOU
ELP1	NSUN2
ELP1	TSC22D1
ELP1	PSMD12
ARPC3	RHOU
ARPC3	ARPC4
PKN1	GRIN2B
BNIPL	RHOU
NAP1L1	NOP58
NAP1L1	PSMD12
LACC1	TPT1
ZNF512	HIST1H3F
PNMA1	FMNL2
RHOU	GDI2
NSUN2	RARA
NSUN2	ITGA4
NSUN2	PPM1G
PRPF18	HOOK2
PRPF18	PPM1G
GRIN2B	STAT4
GRIN2B	PDLIM5
SNRNP200	LSM6
SNRNP200	PPM1G
RIN2	GDI2
RARA	PPM1G
RARA	ITGA4
HIST1H3F	PPM1G
HIST1H3F	MAT2A
PPM1G	LSM6
RNF169	HOOK2
NMD3	XPO1
STAT4	ERBB4
XPO1	ERBB4
ARPC4	ITGA4
TFRC	ITGA4
