#tail	head
HOOK3	SYCE3
HNRNPA2B1	U2AF2
BIK	MARCH5
ASB3	FBXO7
FCN2	C4B_2
UBE2U	KBTBD6
ALG10B	MAGT1
SQSTM1	HDAC6
SQSTM1	GCLC
SQSTM1	INS
SQSTM1	CCND1
MRE11	HIST1H4K
TNFSF10	CCND1
CSNK1E	TCTN3
HIST1H3F	RPL26
HIST1H3F	BRD2
MASP1	CACNA1C
POU3F1	C1orf43
SYCE3	HAUS2
FOXF2	RPS6KB1
FOXF2	CCND1
FOXF2	OCLN
PIK3R3	IGKV1D-39
PIK3R3	TMEM52B
PIK3R3	ITK
PIK3R3	AREG
PIK3R3	IGKV2D-40
GSTK1	TIMM23
MARCH5	TANK
MCL1	TRAF6
RPS6KB1	IL13
UBB	DCUN1D1
UBB	HAUS2
UBB	ERBB4
TRAF6	ITK
TRAF6	IGKV2D-40
DDX42	PUF60
TTK	CEP135
MT1A	BLM
IGKV2D-40	AREG
IGKV2D-40	KDR
U2AF2	LSM3
TANK	ATP5F1B
TANK	CEP135
CEP135	INS
SLC24A1	CHRNB2
RPS15	AAR2
PUF60	FBXO7
PUF60	SF3A1
RBBP4	HIST1H4K
RBBP4	SMARCA4
RBBP4	INS
RBBP4	ZNF219
IL13	INS
IL13	FZD4
SH3GL2	ZNF219
SH3GL2	AREG
CCT6A	AAR2
AAR2	ANXA5
AAR2	KDR
ORAI1	EGF
DNAJC8	LSM3
DNAJC8	ANXA5
DNAJC8	CWC15
DNAJC8	SF3A1
FBXO4	INS
CHRNB2	KDR
SF3A1	LSM4
LCLAT1	LYPD6
KDR	IGKV1-5
AREG	INS
INS	VDAC3
INS	FZD4
