#tail	head
LGALS1	PRKAA1
HERC2	CCDC8
HERC2	ESR2
TSC22D2	ATF2
TSC22D2	NOG
ARID2	NOG
FOXD1	KLHL41
PLB1	S100A1
CCDC8	EEA1
NOG	UACA
NOG	ITPKB
NOG	MAP3K5
NOG	SART3
NOG	ANXA6
NOG	CCDC88C
MAPK6	CEPT1
MAPK6	LETM1
MAPK6	STK40
FBXL21	UBE2G1
ITPKB	PLD4
ITPKB	PLCB2
AKAP2	SF1
UACA	SQSTM1
MAPKAPK5	STK40
ACSBG1	ELOVL6
ACSBG1	GPAT2
ABHD4	RARRES3
ELOVL6	SP1
CDK2	HIST2H4B
TXNIP	MAP3K5
HIST2H4B	HSPA7
HIST2H4B	ATF2
HIST2H4B	HES5
PPL	ESR2
PPL	SF1
SP1	ESR2
SP1	STK40
PLD4	CEPT1
STAT3	MAP3K5
NAALADL2	INSIG2
PEMT	RARRES3
MAPK8	ATF2
VDAC3	ITPR3
FBXL12	DCUN1D4
CHRNA3	FAR2
ADAMTSL5	ESR2
TAB1	MAP2K4
SEC24C	ERN1
