#tail	head
PTMS	NUBP2
CDC5L	PPP1CA
CDC5L	CDKN2AIP
CDC5L	PABPC1
CDC5L	PAXIP1
KLRC2	ESR2
DDX27	NR3C1
FMR1	SORBS2
FMR1	ESR2
FMR1	XDH
FMR1	SREBF1
DR1	ARIH1
PA2G4	PIH1D1
PABPC1	PIN1
PABPC1	ITCH
PABPC1	RPL5
ABI2	TRAF6
FOXO4	PIN1
FOXO4	SERBP1
FOXO4	HEY1
FOXO4	ABHD17B
CDKN2AIP	ARPC4
SREBF1	BAZ2A
HNRNPR	KIAA2013
HNRNPR	MAP1LC3A
CLDN1	ESR2
HIST2H3A	KAT2A
HIST1H3C	PPP1CA
TRAF6	IGHG1
TRAF6	POLR2H
XRN1	STOML2
FAF2	MAZ
FMNL3	NUDT1
MAP1LC3B	PIN1
MAP1LC3B	MAP1LC3A
MTIF3	PAXIP1
STOML2	CPSF3
STOML2	EXOSC7
STOML2	CCT6A
STOML2	ESR2
PIH1D1	NME2
PIH1D1	PPP1CA
PIH1D1	RPL30
PIH1D1	SERBP1
MAZ	SKIDA1
SORBS2	AFDN
SEC22A	FAM174A
KAT2A	HEY1
MS4A4A	PLP1
TMEM97	APOA1
IGKV2D-28	IGHG1
BCAT2	NME2
DCTN5	ESR2
RASSF5	MAP1LC3A
POLR2H	PAXIP1
POLR2H	RARB
POLR2H	NME2
APOA1	ESR2
EXOSC7	RRP7A
NR3C1	SKIL
NR3C1	CHD6
NR3C1	CAPZA2
SERBP1	HBP1
SERBP1	MAP1LC3A
IGHG1	ESR2
