#tail	head
TCEA1	POLR2F
SMAD3	PABPC1
PIK3R6	DOK1
SIN3A	TP53
SIN3A	SUMO1
LCK	ARHGAP35
RPL23	U2AF2
HIST1H2AL	MCM5
FGF3	DRD3
TP53	DYRK2
TP53	RPL11
NOG	GDF10
NOG	SORCS3
NOG	NR2E1
GNG13	GPR15
MAX	ZKSCAN8
HIST2H4A	HOXA2
HIST2H4A	PAK2
POLR2F	POLR3C
POLR2F	CRCP
DDB2	DCLRE1C
SMN2	GNAS
RPL11	RPS6
RPL11	APP
WNT7B	DRD3
DCLRE1C	HNF4A
HNF4A	RBL1
HNF4A	SNAPC1
HNF4A	APBB3
HNF4A	ACCS
AREG	RHOA
HDAC2	NR3C1
NLGN3	EEF1A1
WNT9A	FZD2
WNT9A	ZBTB14
WNT9A	NR3C1
SQSTM1	MCM5
MYOD1	TGIF1
BMP5	FZD2
GRM5	DLGAP3
APP	E2F6
U2AF2	EEF1A1
ZNRD1	HIST1H4J
ZKSCAN8	ZNF169
DRD3	GNG7
GNG7	F2RL2
GNAS	GPR20
PAX6	HIST1H4J
DMAP1	HIST1H4J
