#tail	head
TREM2	INPP5D
HNF1A	TRPA1
HNF1A	KRTAP1-1
LCK	SLA2
LCK	NOTCH1
LCK	ITGB1
SLA2	APOC3
DMBT1	COL1A1
DMBT1	COL17A1
MMP2	SLC45A4
MMP2	MMP1
COL6A2	LUM
COL6A2	RNASEL
RUNX1	MSMB
RUNX1	CALR
LCE2D	NOTCH2NLA
ITGB1	COL18A1
HNF4A	IGSF8
HNF4A	CDX2
HNF4A	HIST1H2BB
COL1A1	MICALL1
APOC3	KRT14
NOTCH1	HIST1H2BB
NOTCH1	GPX1
COL17A1	KRT18
DNMT3L	HIST1H2BB
TRPA1	EDN1
MICALL1	SORBS1
SLC45A4	EDN1
KRTAP1-1	GSTP1
DDX1	GSTP1
KRT10	KRT82
GSTP1	GPX1
KRT82	KRT14
KRT82	KRT18
GREB1	HIST1H2BB
HIST1H2BM	IGSF8
HIST1H2BB	CALR
CALR	SORBS1
