#tail	head
KRT24	MAP1LC3B
HAND1	FBXL19
POU4F2	NRF1
DCHS2	VDR
DDX18	BRIX1
DDX18	PUM3
ALPP	ESRRA
TUBB4A	ZUP1
DGCR8	ESRRA
TEX13A	CNOT6
GSTM3	OGA
NRF1	MEIS1
TRAPPC13	CDT1
DDA1	DTL
CRB3	STX5
KMT2C	HIST1H3B
KRT13	KRT85
FKBP4	OGA
CDK10	ETS2
CNOT1	TRAPPC11
ESRRA	TGIF1
ESRRA	IFRD1
ESRRA	VDR
CREBBP	ETS2
CREBBP	FBXL19
MAP1LC3B	HSPA1L
MAP1LC3B	DCTN1
PPME1	SORBS2
PPME1	SRRM2
OGA	KNOP1
CLDND1	ALG3
NDUFA3	NDUFB7
TRAPPC11	KRT10
PACSIN3	PACSIN2
PACSIN3	EPS15L1
GTPBP4	BRIX1
GTPBP4	HIST1H3B
HIST1H3B	HIST1H2BB
RPL3	BRIX1
TGIF1	APOO
FBXL19	RNF20
FBXL19	SORBS3
EPS15L1	SERPINH1
BRIX1	RRP8
HIST1H2AE	GP1BA
AARD	STX5
RNF20	COPS3
UCHL5	KRT10
GEM	INSC
