#tail	head
GEMIN4	TGS1
FXYD1	SLC38A3
NCBP2	RPS23
NCBP2	CDC40
NCBP2	HNRNPA2B1
NCBP2	RPS15A
RPS14	RPS15A
RPS14	GRB2
EGR4	ICAM5
EGR4	WDR48
PLB1	PIGN
AGPAT3	HADHB
PIK3R1	AR
RPL13A	RPL9P7
RPL13A	RPS15A
RPL13A	RPS23
ACSM4	ACOT2
ACSM4	HADHB
HMGCS1	HADHB
RPS3A	RPS15A
RPS3A	UTP14C
RPS3A	HIST1H2BC
SLC5A12	SLC4A8
LSM2	SF3B6
LSM2	CDC40
LSM2	NCBP1
LSM2	HNRNPA2B1
LSM2	HNRNPU
PABPN1	PHF5A
PABPN1	SLU7
HNRNPA2B1	VHL
HNRNPA2B1	HIST1H2BC
HNRNPA2B1	NCBP1
HNRNPA2B1	ESR2
SUV39H1	SMAD5
PAM	UBR2
RPP38	RPS6
NCBP1	HNRNPU
NCBP1	CPSF1
NCBP1	PHF5A
NCBP1	RPS23
HIST1H2BC	UBR2
CTR9	ELOB
CTR9	CPSF1
RPS6	HNRNPU
RPS6	ECH1
RPS6	HADHB
PPIL4	CPSF4
PPIL4	SF3B6
NME6	HADHB
NME6	COQ2
HADHB	SEC24C
HADHB	ESR2
HADHB	ACOT2
RPL9P7	HNRNPU
UFC1	AR
GRB2	RPS23
GRB2	AR
GRB2	GNG11
PARD6B	UBR2
HIST1H3F	AR
HIST1H3F	HNRNPU
CPSF1	SF3B6
PPP3CB	PHF5A
HNRNPU	PHF5A
HNRNPU	RPS23
SF3B6	PHF5A
TRDN	CACNA1D
TRDN	TNNI1
CPSF4	ESR2
ACOT2	LPCAT2
BTF3	ESR2
RPS15A	RPS23
GOSR2	SEC24C
PHF5A	AR
