#tail	head
CDS2	GPX8
PSMC4	BLMH
PSMC4	ACVR1B
PSMC4	TP53
GSTA1	NRIP1
TFAP4	TP53
TFAP4	MAD2L2
TFAP4	ACVR1C
TFAP4	EGR2
TFAP4	HDAC2
F2RL1	CRLS1
PCK1	GOT1
PCK1	PHOSPHO2
TP53	NRIP1
TP53	SLC9A9
TP53	CREB1
TP53	PARP1
TP53	E2F4
NOG	GNAS
NOG	NRIP1
NOG	WASF1
NOG	SLFN12
NOG	FGF13
NOG	MEIS1
CREB1	EGR2
HOXA10	MEIS1
MEIS1	SLC9A9
MEIS1	FGF13
MEIS1	ACTN2
ITPKB	SCAI
YY1	IWS1
HLA-C	KIR2DL3
CSF2	HDAC2
CSF2	GRM8
HDAC2	E2F4
GDF10	GRM8
PDLIM7	SLFN12
PDLIM7	TPRN
ACVR1B	TDGF1P3
ACVR1B	BMP2
ACVR1B	STAT6
RGS13	GNA15
WASF1	PDGFRB
WASF1	BRK1
BAHD1	EGR2
BAHD1	KRTAP19-7
ANLN	BLMH
PDGFRB	IGLV3-1
EGR2	MED14
EGR2	FOXI1
STAT6	BMP2
