#tail	head
SMAD3	PAX2
GRIK1	GRIK5
HSCB	HSD17B8
PCBP2	WBP11
PCBP2	POLR2C
PCBP2	TRIP6
PCBP2	CSTF1
MOB3C	RELA
ZNF768	BCKDK
LDHC	HSD17B8
LDHC	ALDH3A2
BTAF1	NTRK1
BTAF1	CD83
PLS3	UNK
PLS3	MSN
SNRPD2	POM121C
SNRPD2	GTF2F1
SNRPD2	WBP11
SNRPD2	NUP50
SNRPD2	SRSF10
SNRPD2	ILF2
PTBP1	POLR2C
PTBP1	CSTF1
PTBP1	GTF2F1
PTBP1	MRE11
PTBP1	BRCA1
IL7R	CD40LG
IL7R	ILF2
ARL4C	RAD51D
MEIS1	HOXD4
MEIS1	POLR2C
CORO1C	RRBP1
GTF2B	RELA
GTF2B	POLR2C
GTF2B	GTF2F1
UNK	MSH6
ARF5	GRPR
RFX1	TMEM67
MEPCE	NTRK1
PSMC6	RRBP1
PSMC6	PSMC3
PSMC6	CD40LG
YWHAH	FAM83G
YWHAH	NTRK1
TERF2	NASP
MSH6	NTRK1
NELFB	POLR2D
NELFB	POLR2C
NELFB	BRCA1
MDH2	QDPR
CAPN6	GRIK5
RRBP1	PAICS
DDX42	POLR2D
HDAC6	MRE11
BRCA1	GTF2F1
BRCA1	MSN
BRCA1	ILF2
HIST1H2BC	PAICS
XRCC3	RAD51D
NTRK1	ANKRD17
GRIK5	GRID2
CD40LG	RELA
POLR2C	PSMC3IP
MRE11	TIMELESS
FIP1L1	WBP11
PTOV1	RELA
INTS4	GTF2F1
ZNF629	IFNA13
IL6	LBP
RELA	IFNA13
GTF2F1	RAD51D
LBP	IFNA13
POLR2D	WBP11
