#tail	head
DST	G3BP1
G3BP1	NOG
WAC	MEF2A
TRAF1	TNFRSF1B
UBE2L3	TRAIP
UBE2L3	MYC
MKNK2	ESR2
NOG	OCLN
NOG	VSX1
NOG	PRODH
EXD2	ESR2
PKM	HADHB
PKM	MEF2A
MYC	COPS7A
TPR	MNT
CASP7	PTGES3
CASP7	ESR1
ANKRD23	TCF3
NIT2	LDHB
NIT2	PSAT1
ADHFE1	BDH1
FCGRT	HLA-B
VPS72	INO80C
VPS72	FOXR1
INO80E	PRKAA1
HLA-B	PTGES3
NOTCH1	TNRC6A
NOTCH1	PRKAA1
EVL	ABL1
COPS7A	INO80C
COPS7A	TFPT
SLC17A6	ALDH4A1
TAF9	ESR2
TCF3	INO80C
TCF3	SLC25A5
CD1B	OCLN
ESR1	PTGES3
TRAIP	RNF20
MBOAT1	TAP1
ICAM1	ERCC6
PTGES3	SELENBP1
EGLN3	POLR2A
OAT	PSAT1
SLC22A7	PSAT1
PSAT1	ALDH4A1
