#tail	head
ZWINT	DGCR8
PPP2CB	RANGAP1
ATP2B4	TRIM25
ATP2B4	CANX
PCGF6	HIST1H3J
PDS5A	ESR2
PDS5A	CLASP1
FYN	PRKCI
FYN	NKX2-1
BNIP1	ELOVL4
ELOVL4	CYP4F2
YLPM1	MAP1LC3A
TUBB	MAP1LC3A
PRKCI	NFKB1
SS18	H3F3A
SKA1	CENPN
SKA1	CENPC
DUSP23	FER
NUP37	NPM1
NUP37	CENPC
TAF1D	NPM1
HIST1H2BL	CHD4
HIST1H2BL	NUP50
RUNX1	NPM1
RUNX1	TNNT2
RUNX1	CHD4
PRICKLE3	YWHAH
U2AF1	NPM1
CYP4F2	RDH12
CLASP1	CEP89
CENPN	NUF2
CYP2C9	NFKB1
CDH18	ACTBL2
ANK3	SOX9
SOX9	ROCK1
SNRPD1	MAP1LC3A
SOX5	KIF20B
SOX5	NKX2-1
MAGEC2	MAGEB10
RDH12	MAP1LC3A
NPM1	MAP1LC3A
NPM1	ARID1A
CHD4	TRIM25
SMAD4	BTRC
SMAD4	TFDP2
NFKB1	BTRC
WASHC2A	MLF1
TRAP1	ESR2
MPP5	AMOTL1
COPZ1	ESR2
IFITM3	ARID1A
PTBP2	NKX2-1
EPB41	ESR2
PRKRA	BTRC
