#tail	head
KBTBD6	GPS1
USP39	HNRNPUL1
USP39	TRIM26
GMCL1	MORF4L1
GMCL1	GAGE2D
ATG4A	MAP1LC3C
SMURF2	EGFR
ALDH7A1	DDA1
TUBB4A	VBP1
TUBB4A	NFKBIA
TUBB4A	LEF1
LRAT	LPCAT4
LRAT	LYPLA1
LRAT	LEF1
GPS1	EGFR
GPS1	CCDC22
SINHCAF	LCN2
NOG	PSMD11
SIX2	NF1
RBFOX2	DAZAP2
CCNB1	RPTOR
PYCR1	CEP162
H2AFJ	BCL2
HIST2H3A	CENPV
PSMA3	FZR1
DDX5	INO80B
DDX5	RNF2
DDX5	HNRNPL
NF1	KIF13B
NF1	OSBPL6
PCM1	LEF1
EZH2	LEF1
EZH2	CALML3
CAVIN1	DUX4
RNF2	HNRNPL
RNF2	LEF1
RNF2	HIST2H3C
SEMG1	JUN
TGM1	SLCO6A1
LEF1	TLE1
PRR14L	EGLN3
TBCE	TUBA3E
EGFR	TCP1
MAP1LC3C	BECN1
RRM1	HAS3
EGLN3	TCP1
OSBPL10	SRRM2
JUN	TCP1
TRIM25	TLE1
