#tail	head
PPP5C	HIST1H2BF
ACTG2	PCDHB14
HIST1H2BF	RPA2
TRA2B	CWC22
UBE2N	CDK2
UBE2N	MFSD6
UBE2N	HIST1H2BK
UBE2N	ELOB
PPP1CB	NAPA
NAMPT	CDK2
MGST2	DNAJC30
MGST2	HDHD2
IVNS1ABP	HNRNPU
SMO	FAM189B
SMO	IFNA14
CDKN1A	IFNA13
SMIM1	HNRNPA2B1
CDK2	HSPA9
CDK2	PNP
HNRNPA2B1	PSMB1
HNRNPA2B1	HNRNPU
PUF60	AXIN1
FAM74A6	KRTAP10-9
PPIL2	EFTUD2
CAPZA1	PSMB3
RNF146	PSMD13
RNF146	PRKCZ
RNF146	PSMB3
KRTAP10-8	POU1F1
SMPD2	NFKB1
CCNA1	CKS1B
AQP6	DNAJC30
GULP1	NAPA
NAPA	PRPSAP2
CKS1B	PSMD13
PSMB3	PSMB1
HSPA9	EFTUD2
HSPA9	ACO2
HSPA9	PRKCZ
PSMD13	EFTUD2
NFKB1	HNRNPU
NFKB1	IFNA13
HNRNPU	RPL13
C17orf50	PCSK5
CDC37L1	RELCH
PRKCZ	PSMC5
CCNE1	PSMB1
IKBKE	RPN1
