#tail	head
GTF2A1	BTBD3
FOXO1	SELENOP
FOXO1	SOD1
FOXO1	HSD17B4
SNAP29	NAPA
ASIC3	SLC9A8
ASIC3	GOPC
YBX3	ABCB7
YBX3	HIST1H4C
YBX3	RIOK1
MYLPF	CHRNB3
MLH1	SOD1
CTNNBIP1	TK2
NAPA	VCP
NAPA	EPRS
CACNA1A	VIM
NSMF	KCTD15
PSMC1	CCDC8
PCCB	HUWE1
AMPD2	VIM
AMPD2	TARS
AMPD2	CA13
AMPD2	GNPDA2
HUWE1	RIPK4
HUWE1	KPNA2
HUWE1	TEAD2
POU3F1	KCTD15
SYNJ1	PCK1
SYNJ1	UPP2
SYNJ1	MTHFD1L
ACTR2	ELAVL1
HIF3A	STAT6
TNNI1	STIM1
HSPA8	EGLN3
HSPA8	EPRS
HSPA8	EPS15
ELAVL1	VCP
ELAVL1	SOD1
PCK1	IGF2
C9orf24	MMADHC
CASQ2	TSNARE1
SIRT1	HIST1H4C
SIRT1	NUDT21
SIRT1	HES5
SIRT1	HIST2H4A
SIRT1	ESRRA
VCP	VIM
TARS	EFTUD2
HIST1H4C	LEF1
HIST1H4C	RIOK1
HIST1H4C	CCDC8
KMT2D	POLR2L
CCDC47	EGLN3
PIK3R5	EPS15
STIM1	SOD1
STIM1	TBC1D7
STIM1	CPNE7
STIM1	EFTUD2
ESRRA	VIM
JAK1	IL12B
PAPPA	IL12B
PAPPA	HNF4A
ZMAT5	HNF4A
LRRC41	EGLN3
SHMT2	MTHFD1L
SHMT2	STAT1
SHMT2	RIOK1
DYNLT1	LEF1
EFTUD2	RIOK1
DNAJC9	RIOK1
FCHSD2	LEF1
COMMD9	HNF4A
EPRS	POLR2E
VIM	LEF1
RIOK1	HNF4A
BLOC1S1	HSD17B4
HNF4A	NDUFAF5
ACOX2	HSD17B4
