#tail	head
LPIN3	SMG6
HNF1A	ACTR1A
HNF1A	BUB3
HNF1A	ERG
HNF1A	PCLAF
HNF1A	SFXN2
HNF1A	GAB2
VPS52	COG4
RPL38	SSR4
INTS7	INTS14
INTS7	BUB3
INTS7	ELL
UPF1	SNRNP70
UPF1	ESR1
SSR4	GABPA
SSR4	HIPK4
SSR4	ESR1
MAX	UBE2B
MAX	ACTR1A
MAX	HERC3
MAX	HIST1H2BN
MAX	SNRNP70
GABPA	COG4
GABPA	GAB2
IGHV3-7	GAB2
BUB3	SGF29
ELL	INTS14
ELL	GTF2H4
FANCM	PCLAF
ACTR1A	SNRNP70
ACTR1A	RAB6A
HIST1H2BN	MAPK8
HIST1H2BN	ESR1
HIST1H2BN	UBE2B
COG4	RAB6A
UBE2U	HERC3
SAP30	HIST1H2AE
ACAA1	SNRNP70
ACAA1	SGF29
ACAA1	FAR1
ACAA1	AGPAT2
PCLAF	RFC5
ERG	MAPK8
ESR1	HIST1H2AE
SERPINB3	MAPK8
HIST1H2AE	KLK2
ACOT2	FAR1
SGF29	FAAP100
