#tail	head
MRPL49	MRPS14
KIAA1211L	ESR2
PGR	XRCC6
IRAK4	VAV2
IRAK4	FGF22
PRR11	STAT6
GNG11	WASF2
GNG11	ERLIN2
BAG6	MED20
CA12	CUX1
CA12	LEF1
BLOC1S1	ESR1
ESR1	CTNNB1
ESR1	PTK2
ESR1	ERLIN2
KLRC2	VAV2
KLRC2	B2M
MRPS14	MRPL23
MRPS14	MRPS18C
SHLD2	SHLD1
MRPS18C	MRPS34
MRPS18C	CHCHD1
LEF1	CNGB3
LEF1	YBX1
LEF1	FBXW11
LEF1	RET
LEF1	ELK1
LEF1	HIST1H2BJ
SOX2	TCF3
SOX2	CUX1
SOX2	POLR2A
SOX2	TUBA1A
CEP162	RET
TEAD4	PDE4DIP
FGF22	VAV2
HIST1H2BJ	CTNNB1
SAR1B	B2M
CPT1A	ACSL4
SIAH1	CTNNB1
SIAH1	SNCA
CTNNB1	FGF8
CTNNB1	UBE2R2
CTNNB1	LRP2
ITGA2	STAT6
GLP2R	TCF3
HECW2	MAP2
ESR2	MRPL19
ESR2	CGA
ESR2	FGF8
ESR2	MED20
ESR2	GPS1
ESR2	PREB
ESR2	MRPL23
IGLV1-44	FGF8
IGLV1-44	WASF2
IGLV1-44	VAV2
IGLV1-44	KL
B2M	ERLIN2
B2M	SNCA
MAP2	BDNF
FGF8	VAV2
FGF8	KL
FGF8	CUX1
FGF8	MYH10
TERF2IP	ANXA8
MRPL50	CHCHD1
PTMA	STAT6
APC	MYH10
APC	TUBA1A
BDNF	VAV2
SSX2IP	TUBA1A
SSX2IP	RET
ATP5PF	KL
ATP5PF	PTK2
KCTD6	AMPD2
STX5	STX1A
PTPMT1	ABL1
AMPD2	FBXW11
MYH10	CUX1
DIO3	TCF3
PTPRG	PTK2
PTPRG	NSF
CUX1	THRA
ABL1	PXN
ABL1	POLR2A
TUBA1A	TCTN2
TUBA1A	STAT6
POLR2A	YBX1
SYT1	NAPB
FBXO27	UBE2R2
PSORS1C2	TCF3
PSORS1C2	MED20
PSORS1C2	VASP
VAV2	ERLIN2
FBXW8	CUL9
FBXW8	GPS1
STAT6	FBXW11
STAT6	PTK2
STAT6	LRP2
ARF6	PXN
ARF6	TCF3
PHF8	LSM14B
