#tail	head
ALK	MTMR3
UBA5	ELK1
PTMA	NF1
PTMA	YWHAH
PTMA	PCBP1
PTMA	CASP7
PTMA	HIST1H2BE
ELK1	ZNF35
ELK1	SEC13
GORASP1	GOLGA2
GBF1	EGFR
GBF1	FOXB1
GOLGA2	ZNF35
GOLGA2	HSCB
GOLGA2	PCBP1
GOLGA2	SEC13
C9orf72	PLGRKT
HIST3H3	HIST1H2BE
CTNNA2	CDH11
CTNNA2	JUP
ORC1	CHMP1B
ORC1	POLE3
HIST1H2BE	HIST1H4J
HIST1H2BE	DNAJC2
HIST1H2BE	HOXA4
NAA40	HIST1H4J
WDYHV1	JUP
MTMR3	SRC
ZNF35	ETS2
RPN1	SEC23B
RPN1	JUP
RPN1	PATL1
IFNA13	ZFP36
HIST1H4J	SRC
HIST1H4J	POLR2E
CIAO1	SEC13
POM121C	HSPA4L
GABPB2	SEC13
PLGRKT	PTRH2
NCAPH	FOXB1
HSCB	POLR2E
HSCB	ABCE1
HSCB	BZW2
NF1	JUP
RAB39A	ETS2
RAB39A	PCBP1
BZW2	EGFR
BZW2	ETS2
BZW2	CDH1
JUP	SRC
JUP	EGFR
PCDHGA12	FRK
HNRNPF	SEC23B
HNRNPF	SEC13
DCP1A	SEC13
DCP1A	SEC23B
CDH11	EGFR
CDH11	SRC
MNAT1	POLR2E
PCBP1	CDH1
PCBP1	CDH9
PCBP1	POLR2E
BIN3	ETS2
RAB34	ETS2
SMAP1	PHLDA3
EGFR	GRB7
EGFR	SRC
EGFR	CDH1
YWHAH	ABCE1
IRAK1	CDH1
PAK4	SRC
ETS2	GRB7
ETS2	PATL1
ETS2	CHMP1B
SEC13	POLR2E
SEC13	SRC
SEC13	PATL1
POLR2E	CDH1
SEC23B	SRC
SEC23B	CDH1
SEC23B	PATL1
SRC	GRB7
SRC	PLBD1
PHLDA3	SEC63
