#tail	head
EMC6	TMEM56
NTRK1	HNRNPA2B1
NTRK1	TRAPPC11
NTRK1	SF1
HOXB9	JUN
HOXB9	LEF1
HOXB9	PHTF1
HOXB9	POLR2A
CDIPT	RNF4
SERPINB4	SINHCAF
TRAPPC11	ADGRG2
TRAPPC11	THRAP3
HIST1H3G	RAD50
HIST1H3G	JUN
HIST1H3G	THRAP3
HIST1H3G	RNF4
RNF25	HAND1
DCAF1	RNF4
DCAF1	LLGL2
POLL	NBN
POLL	RAD50
RAD1	RAD50
RAD1	NBN
RNF4	RAD50
RNF4	HIST1H3J
RNF4	HNRNPA2B1
RNF4	NBN
RNF4	SF1
RNF4	THRAP3
RNF4	ZNF687
ZNF461	CYP19A1
UBL4A	HNRNPA2B1
NBN	RAD50
HNRNPA2B1	SF1
HNRNPA2B1	POLR2A
HNRNPA2B1	JUN
LLGL2	ZNF687
LLGL2	SF1
LLGL2	THRAP3
LLGL2	CYP19A1
THRAP3	HIST1H3J
THRAP3	CYP19A1
CBX4	HIST1H3J
POLR2A	RAD50
POLR2A	HIST1H3J
POLR2A	JUN
POLR2A	CCNT1
POLR2A	CYP19A1
CYP19A1	SF1
PHTF1	LEF1
SF1	JUN
SF1	DDX46
SF1	LEF1
DDX46	JUN
JUN	RAD50
HIST1H3J	RAD50
