#tail	head
GFM1	SUCLA2
STAT2	ETNK1
RPS4Y2	RPL35A
GRK2	GIT2
TFAP2C	CLDN7
RANBP3	CDCP1
RANBP3	NRF1
RANBP3	NXF1
RPS19	CHD4
RPS19	NCBP1
RPS19	HNRNPD
PPT1	TAZ
KIF2C	HIST1H3B
KIF2C	HIST1H3I
HIST1H2BG	DMC1
HIST1H2BG	KDM4C
HIST1H2BG	HNF4A
HIST1H2BG	HNRNPD
HIST1H2BG	ANLN
HIST1H3B	NPM1
HIST1H3B	MAPK14
HIST1H3B	MRPS35
HIST1H3B	ACTL6B
HIST1H3B	CHD4
HIST1H3B	RPS10
GIT2	HGD
MYL2	KIF21A
MYL2	CALM1
PRAG1	CDC25A
SUCLA2	NAT1
CPSF3	NCBP1
CPSF3	SRRM2
CPSF3	NRF1
CPSF3	HSPA8
CPSF3	HNRNPD
NRF1	KDM4C
NRF1	SEH1L
NRF1	NCBP1
GJC2	CDCP1
LPAR3	FAM209A
SELENON	SCGB2A2
KDM4C	HIST1H3I
KDM4C	NXF1
SLC16A8	LDHA
SLC16A8	LDHB
CDC5L	HNF4A
CDC5L	HSPA8
CDC5L	SEH1L
ETNK1	PNLIP
CFH	OBSL1
NXF1	BNIP2
NXF1	PRR3
NXF1	UPF3B
NXF1	CDC25A
HSP90B1	HNF4A
HSP90B1	SEH1L
HSP90B1	GABARAPL2
CDCP1	OBSL1
RPL35A	NCBP1
RPL35A	SSR1
RCE1	USP17L1
RPS9	OBSL1
RPS9	HSPA8
SEH1L	LDHB
SEH1L	SRRM2
SEH1L	HSPA8
SEH1L	NPM1
SEH1L	MAPK14
SEH1L	SSR1
HIST1H3I	SETD1A
HIST1H3I	GTPBP4
HIST1H3I	SRRM2
RPS10	HSPA8
ITPRID2	HNF4A
NCBP1	OBSL1
NCBP1	SETD1A
SNW1	NPM1
SNW1	LUC7L2
SNW1	GTPBP4
SNW1	HNF4A
SNW1	CHD4
LUC7L2	GABARAPL2
LUC7L2	CHD4
SRRM2	LDHB
SRRM2	HNRNPD
NPM1	SSR1
LDHA	LDHB
LDHA	SSR1
LDHA	HSPA8
PDHB	HSPA8
HNF4A	LRP5
SEMA4D	SCGB2A2
SEMA4D	HNRNPD
HSPA8	PPIA
CHD4	GTPBP4
USP17L1	CDC25A
SETD1A	SSR1
SETD1A	HIST2H4B
CDC25A	CDKN3
APOC3	OBSL1
MYO5B	BNIP2
HNRNPD	SSR1
PPIA	OBSL1
