#tail	head
RAC3	A2M
SOX9	PITX2
SOX9	RLIM
SOX9	PBX1
SOX9	TNS2
U2SURP	UPF3B
U2SURP	RBM39
U2SURP	JUN
U2SURP	CSTF3
U2SURP	PPIL3
MCM2	HIST2H3D
MCM2	SYNE2
MCM2	HNRNPL
MCM2	HNRNPA3
MCM2	CCNA1
MCM2	SEC11A
MCM2	GNB5
MCM2	AHNAK
MCM2	RPS18
MCM2	CRKL
MCM2	HDAC6
PDAP1	PDGFRB
PDAP1	MYB
MYB	CCNA1
MYB	PITX2
MYB	CEBPB
MYB	HIST2H3D
MYB	JUN
MYB	NDEL1
MYB	HNRNPA3
MYB	RBM39
MYB	UBE2S
MYB	BACH1
R3HDM1	EWSR1
DHX15	UPF3B
DHX15	HNRNPA3
DHX15	EWSR1
DHX15	BRCA1
DHX15	PPIL3
DHX15	HNRNPL
CCNA1	BRCA1
A2M	PDF
A2M	CRP
C3AR1	GPR89A
C3AR1	JUN
GRM8	GNB5
TBRG4	MAS1
BCAR1	SYNE2
BCAR1	KIF1A
BCAR1	PABPC3
BCAR1	MYH11
BCAR1	JUN
GNG13	GNB5
GNG13	CXCR2
GNG13	ARHGEF6
GNG13	RAMP1
RPL23A	BRCA1
RPL23A	UPF3B
RPL23A	BACH1
RPL23A	AHNAK
RPL23A	LEF1
RPL23A	RPS13
RPL23A	RNF2
UBE3C	UBE2S
CALCA	GNB5
CALCA	CXCR2
CALCA	RAMP1
RNF2	HIST2H3D
RNF2	HNRNPL
RNF2	LEF1
RNF2	RACGAP1
MYH11	MYL7
MYH11	MCOLN2
MYH11	APC
NLK	BACH1
NLK	USP4
NLK	PITX2
NLK	PBX1
NLK	SP3
NLK	JUN
NLK	ZHX3
LRRTM3	BACH1
LRRTM3	LEF1
LEF1	SYNE2
LEF1	RBM39
LEF1	LHX2
LEF1	APC
LEF1	HIST2H3D
LEF1	PITX2
LEF1	AHNAK
LEF1	CRKL
PDGFRB	ARHGEF6
PDGFRB	APC
PDGFRB	CRKL
OSMR	BAG3
OSMR	JUN
OSMR	IFNA21
OSMR	IFNA16
HDAC6	SIRT4
HDAC6	STUB1
HDAC6	SLX1B
HDAC6	HIST2H3D
HDAC6	VCP
HDAC6	BAG3
MAS1	GPR89A
BACH1	RBBP8
BACH1	BRCA1
BACH1	JUN
PSMA4	PPP2R1B
PSMA4	VCP
PSMA4	JUN
PSMA4	EWSR1
HIST2H3D	PBX1
RAMP1	HNRNPL
OR5I1	TNS2
MYL7	MCOLN2
BRCA1	RPS13
BRCA1	HNRNPA3
BRCA1	HNRNPL
BRCA1	AHNAK
BRCA1	RPS18
BRCA1	SLX1B
BRCA1	VCP
BRCA1	RBBP8
AHNAK	PPIP5K2
CSTF3	HNRNPL
CSTF3	UPF3B
CSTF3	JUN
CSTF3	SNRNP40
VCP	RNF31
VCP	BUD23
VCP	STUB1
VCP	UBE2S
VCP	CLASP1
VCP	PPP2R1B
ESYT2	RNF31
COPA	RACGAP1
RNF31	KIF1A
RNF31	HNRNPL
RNF31	APC
RNF31	USP4
CLASP1	PITX2
STUB1	BAG3
STUB1	TINF2
PPIL3	HNRNPL
PPIL3	BAG3
PPIL3	SNRNP40
PPIL3	RBM39
KIF1A	HNRNPL
RLIM	LHX2
PCYT1A	CRP
PCYT1A	GHRL
PITX2	JUN
PITX2	CEBPB
PPIP5K2	IP6K3
EWSR1	BAG3
EWSR1	ESYT3
EWSR1	HNRNPA3
EWSR1	ZHX3
CRKL	JUN
APC	FHOD1
APC	PPP2R1B
APC	CEBPB
APC	SYNE2
HNRNPA3	RPS13
HNRNPA3	HNRNPL
HNRNPA3	UPF3B
HNRNPA3	SNRNP40
IFNA16	CXCR2
IFNA21	IFNA6
IFNA21	CXCR2
TINF2	SYNE2
FHOD1	JUN
FHOD1	SYNE2
CXCR2	GNB5
PBX1	HNRNPL
USP4	RBBP8
HNRNPL	PPP2R1B
HNRNPL	SP3
HNRNPL	UPF3B
HNRNPL	RBM39
RPS18	SEC11A
SYNE2	JUN
UPF3B	JUN
LHX2	SP3
SNRNP40	JUN
SNRNP40	RBM39
PPP2R1B	NDEL1
SP3	CEBPB
CEBPB	JUN
JUN	RPS13
