#tail	head
RFPL3	DDIT4L
PAX3	CHGB
PAX3	ELAVL2
PAX3	NOG
PAX3	ZHX2
TAGLN2	TAF1
TAGLN2	CFL1
TUBB2A	MCM5
TUBB2A	ESRRA
CLCN2	GABPB2
CLCN2	ESRRA
CLCN2	RAB11FIP2
LHX1	MAZ
LHX1	ESRRA
NAPA	ACTR2
NAPA	VCAM1
NAPA	HSPB1
NAPA	GAPDH
NAPA	MCM5
NAPA	CFL1
NAPA	TRMT6
HIST2H4A	RBBP7
HIST2H4A	CYP26B1
HIST2H4A	CXCL8
HIST2H4A	COPS5
HIST2H4A	POU2F1
EVA1A	FAM20A
EVA1A	ZHX2
MCM5	SH3KBP1
ATP1B2	GAPDH
ATP1B2	KCNJ11
ATP1B2	INS
SEPT11	CXCL8
MAP3K11	TRAF6
MAP3K11	ARAF
FOXJ1	NOG
FOXJ1	POU2F1
FOXJ1	CYP26B1
CASP7	INS
HTR3E	TNNT1
UCHL5	MAZ
GAPDH	ATXN1
GAPDH	COPS5
GAPDH	CREBBP
GAPDH	DUPD1
GAPDH	NUDT11
GAPDH	ARNT
GAPDH	CFL1
GAPDH	S100A8
RAB11A	TRAF6
RAB11A	TAF1
RAB11A	CXCL8
RAB11A	CLASP1
RPL11	VCAM1
RPL11	STAT3
RPL11	EIF3M
RPL11	PABPC1
RPL11	RBM8A
RPL11	BTF3
ZHX2	ELAVL2
ZHX2	STAT3
ADCY10	PDE11A
USP2	NOG
USP2	TFAP4
USP2	PCNA
DDIT4L	NXT2
DDIT4L	POU2F1
DDIT4L	MORF4L2
DDIT4L	BTF3
DDIT4L	S100A8
BACH1	ELAVL2
BACH1	RBBP7
BTF3	TRAF6
TOX4	HSPB1
ADCY3	INS
ADCY3	HNRNPL
PPP2CA	CXCL8
PPP2CA	TERF1
PPP2CA	CFL1
PPP2CA	INS
PPP2CA	POU2F1
PPP2CA	EP300
GMEB2	SUMO1P1
PCNA	EP300
PCNA	TRAF6
PCNA	TAF1
PCNA	SH3KBP1
HS3ST5	NOG
TFAP4	GABPB2
TFAP4	POU2F1
TFAP4	STAT3
TFAP4	S100A8
CFL1	TAF1
ACTR2	INS
ACTR2	SH3KBP1
S100A8	NOG
S100A8	CXCL8
POU2F1	STAT3
POU2F1	DCN
POU2F1	ELAVL2
POU2F1	NOG
POU2F1	HS3ST1
POU2F1	ESRRA
WASHC3	TRAF6
WASHC3	HNRNPL
COPS5	HSPB1
COPS5	TAF1
COPS5	WIPI2
COPS5	NUP155
COPS5	ZC3HAV1
MTDH	NOG
CLASP1	HAUS1
HAUS1	PABPC1
STON1	CXCL8
STON1	RAC1
STON1	GAK
STON1	INS
CPSF2	HNRNPL
CPSF2	NOG
KCNJ11	CAMK2D
NUDT11	NOG
NUDT11	TRAF6
STMN1	ARNT
STMN1	ESRRA
KIT	SH3KBP1
STOML3	NOG
ARAF	STAT3
ARAF	ZC3HAV1
ARAF	CAMK2D
RABGAP1	HNRNPL
DUPD1	TRAF6
ESRRA	EP300
ESRRA	HSPB1
ESRRA	CREBBP
ESRRA	AP1B1
ESRRA	RBBP7
TNNT1	NOG
SUMO1P1	CAMK2D
MORF4L2	GABPB2
NOG	HS3ST1
NOG	SH3KBP1
NOG	CHGB
NOG	CAMK2D
NOG	DCN
CAMK2D	ZRANB3
CAMK2D	ZC3HAV1
CAMK2D	STAT3
NAA30	GABPB2
GABPB2	VCAM1
EIF3M	HNRNPL
EIF3M	PABPC1
EIF3M	SH3KBP1
EIF3M	TRAF6
AP1B1	INS
AP1B1	CREBBP
AP1B1	GAK
SH3KBP1	INS
SH3KBP1	GAK
SH3KBP1	TRAF6
HSPA4	HSPB1
HSPA4	TRAF6
HSPA4	TAF1
HSPA4	TERF1
HSPA4	RBBP7
RBM8A	PABPC1
RBM8A	STAT3
RBM8A	NUP155
INS	GAK
INS	TERF1
INS	CREBBP
HNRNPL	ELAVL2
RAC1	EP300
RAC1	VCAM1
RAC1	STAT3
PDE11A	MAZ
CREBBP	EP300
CREBBP	ARNT
RBBP7	TAF1
HSPB1	EP300
HSPB1	ARNT
EP300	MAZ
EP300	ASCL2
EP300	TERF1
CXCL8	P2RX3
CXCL8	ARNT
CXCL8	TRAF6
MAZ	STAT3
NUP155	TRAF6
ARNT	NPTN
