#tail	head
HDAC4	SLC39A12
BRAF	MAPK1
MYT1	FOXF2
SLC25A17	VSIG1
EEFSEC	RPS15
ASB6	COMMD1
KDELR1	TMED9
KDM6A	H3F3A
KDM6A	HIST1H2AD
KDM6A	RXRA
KDM6A	FOXF2
H3F3A	RXRA
H3F3A	HIST1H1B
H3F3A	SSRP1
H3F3A	HIST1H2AD
SSRP1	RPL18
SSRP1	EIF3E
ASB18	SFPQ
ASB18	COMMD4
ASB18	NONO
COMMD4	DCUN1D2
COMMD4	FAM45A
COMMD4	DTL
COMMD4	COMMD1
IQCB1	DCTN2
IQCB1	RAB3C
FOXF2	DDX5
FOXF2	MITF
FOXF2	SLC25A5
MRE11	RMI2
MRE11	SFPQ
MRE11	ERCC6
SLC25A5	RPL18
SLC25A5	RPS15
SLC25A5	RPS6
PAX4	PABPC1
PAX4	KLC2
PAX4	HSP90B1
PAX4	ZFP91
DNMT3L	RXRA
RPL18	DDOST
RPL18	RPS12
RPL18	HIST1H2AD
RPL18	EIF3E
DDX5	NONO
DDX5	EIF3E
DDX5	PABPC1
DDX5	SFPQ
KDELR2	KIFAP3
KDELR2	DCTN2
SIAH1	RLIM
SIAH1	TOLLIP
RXRA	SFPQ
RXRA	HIST1H2AD
RXRA	NONO
RPS6	PABPC1
RPS6	RPS12
RPS6	HIST1H2AD
RPS6	RPS15
NELFA	MNAT1
NELFA	IGHMBP2
KLC2	DCTN2
KLC2	SMC6
PABPC1	SFPQ
PABPC1	EIF3E
PABPC1	RPS15
MNAT1	RMI2
MAPK1	SFPQ
MAPK1	MITF
RMI2	ERCC6
SFPQ	HSP90B1
SFPQ	HIST1H1B
SFPQ	NONO
SMC6	IGHMBP2
DTL	COMMD1
DCTN2	KIFAP3
RPS12	EIF3E
COMMD1	FAM45A
TMED9	KIF12
TMED9	NONO
DDOST	HSP90B1
VSIG1	RANBP6
RLIM	TOLLIP
HIST1H1B	HSP90B1
