#tail	head
LEMD2	CHRNB3
APOB	REPS1
APOB	PIK3R3
APOB	HSPA1A
APOB	P4HB
APOB	VAMP2
APOB	CALCR
APOB	PIP4K2A
APOB	SYT1
RPP30	INPPL1
RPP30	HIST1H3D
RPP30	RPP25
KCNAB3	KCNH6
KCNAB3	FXYD2
KCNAB3	KCNQ1
OR10A2	GNB1
POLE2	SPINT2
GLB1	HSPD1
GLB1	B3GNT6
GLB1	UGT2B10
PRPF8	LSM5
PRPF8	POLR2D
PRPF8	HNRNPA2B1
PRPF8	PIAS1
PRPF8	CCT3
PRPF8	MIF
PRPF8	HIST1H4L
PRPF8	HIST1H1C
PRPF8	UBE2I
PRPF8	SNRPN
PRPF8	NONO
PRPF8	NACA
PRPF8	MCM5
IGHV3-13	GNB1
IGHV3-13	PIK3R3
IGHV3-13	BAG4
IGHV3-13	CYFIP1
IGHV3-13	GNG7
SOX9	NR4A1
SOX9	FAM72A
SOX9	NOG
SOX9	RCN1
PRPF31	AHSA1
PRPF31	RBM22
PRPF31	SNRPN
PRPF31	PUF60
PRPF31	KPNA1
HDGF	RFC3
HDGF	HIST1H1C
HDGF	HIST1H3D
NR3C1	SYT1
NR3C1	DCTN2
NR3C1	HIST1H3D
NR3C1	UBB
NR3C1	FKBP4
NR3C1	PDGFRA
NR3C1	HSPD1
NR3C1	TSSK1B
NR3C1	AKAP7
NR3C1	RCN1
NR3C1	UBE2I
NR3C1	ESR2
NUP43	UBE2I
NUP43	HLA-B
NUP43	NUP37
NUP43	GEMIN4
NUP43	SP100
NUP43	HSPA1A
NUP43	CUL7
REEP5	ACSL3
REEP5	NOG
REEP5	OR2M2
REEP5	OR52L1
GNB1	RRBP1
GNB1	SDC4
GNB1	RHOG
GNB1	FXYD2
GNB1	RTP4
GNB1	SMTN
GNB1	CCL4L1
GNB1	CYFIP1
GNB1	GNG4
GNB1	BRK1
GNB1	RPN1
GNB1	PLCG1
GNB1	CXCR6
GNB1	PDGFRA
IGLV2-11	GNG4
IGLV2-11	BRK1
IGLV2-11	PLCG1
IGLV2-11	PDGFRA
IGLV2-11	PIP4K2A
IGLV2-11	IGHV3-11
CSNK1D	RRBP1
CSNK1D	SMTN
CSNK1D	SDC4
POLR2D	PUF60
POLR2D	HIST1H4L
POLR2D	H2AFJ
POLR2D	DCTN2
POLR2D	RFC3
POLR2D	NBN
POLR2D	HIST1H3D
POLR2D	RBM22
MCM5	RPN1
MCM5	SORBS1
MCM5	HIST1H1C
MCM5	H2AFJ
MCM5	HSPA1A
MCM5	NOG
PACSIN2	PIK3R3
PACSIN2	RPN1
PACSIN2	SHKBP1
PACSIN2	SORBS1
PACSIN2	PIP4K2A
PACSIN2	REPS1
PACSIN2	RRBP1
PACSIN2	HSPD1
PACSIN2	VAMP2
CCT3	UBASH3B
CCT3	RPN1
CCT3	SDC4
CCT3	SHKBP1
CCT3	CUL7
CCT3	ATG16L1
CCT3	SMTN
NR4A1	HNRNPA2B1
NR4A1	MEF2A
NR4A1	PITX2
HIST1H3D	PHF5A
HIST1H3D	TAF4
HIST1H3D	ELF2
HIST1H3D	HSPD1
HIST1H3D	CDC27
HIST1H3D	C1QBP
HIST1H3D	SRC
HIST1H3D	NACA
HIST1H3D	HIST1H2AK
HIST1H3D	CDC73
PDPK1	RHOG
PDPK1	INSR
PDPK1	PIP4K2A
PDPK1	BAG4
PDPK1	GNG4
MLST8	PITX2
IGKV1D-16	INPPL1
IGKV1D-16	PIK3R3
IGKV1D-16	IGHV3-11
IGKV1D-16	PLCG1
IGKV1D-16	CYFIP1
IGKV1D-16	BRK1
IGKV1D-16	ESR2
C1QBP	SORBS1
C1QBP	RRBP1
C1QBP	SDC4
C1QBP	HSPD1
C1QBP	CUL7
C1QBP	EEF1D
C1QBP	PPP2R1A
C1QBP	SRC
C1QBP	RPN1
SNX24	ESR2
OR52L1	RTP1
UBE2I	BCL2
UBE2I	NONO
UBE2I	HIST1H4L
UBE2I	PUF60
MEF2A	MAP4K5
MEF2A	INPPL1
AHSA1	ABL1
AHSA1	RPN1
AHSA1	SHKBP1
AHSA1	RRBP1
AHSA1	SMTN
AHSA1	LDHB
AHSA1	HLA-B
AHSA1	HNRNPA2B1
CYFIP1	ESR2
CYFIP1	YWHAH
CYFIP1	IGHV3-11
CYFIP1	ABL1
CYFIP1	PIK3R3
CYFIP1	NOG
CYFIP1	PDGFRA
CYFIP1	GNG7
MGAT5B	NOG
MGAT5B	B3GNT6
MGAT5B	MGAT4C
RTP4	OR10J4
ACOT7	BAG4
ACOT7	ACSL3
ACOT7	GDI1
FXYD2	CHRNA4
FXYD2	KCNQ1
FXYD2	SLC9A7
FXYD2	SLC1A5
SNRPN	PUF60
SNRPN	RBM22
SNRPN	TGS1
SNRPN	LSM5
SNRPN	HNRNPA2B1
HAUS7	DCTN2
HAUS7	CETN3
LSM5	PHF5A
PHF20	TAF4
PHF20	HNRNPA2B1
HLA-B	RPN1
HLA-B	SLC1A5
HLA-B	SOD2
KPNA1	NUP37
KPNA1	NOG
KPNA1	RPN1
