#tail	head
FAM171A2	IDO2
IGKV1-39	VEGFA
IGKV1-39	IGHV3-33
IGKV1-39	SH3KBP1
IGKV1-39	NTF4
IGKV1-39	ITPR2
IGKV1-39	SHC1
IGKV1-39	ESR1
IGKV1-39	GNGT1
IGKV1-39	DGKH
IGKV1-39	DOCK1
IGKV1-39	LYN
IGKV1-39	IGHA1
IGKV1-39	GNB5
IGKV1-39	EPOR
SORBS2	SHKBP1
SORBS2	SNW1
SORBS2	PLS3
SORBS2	BAG3
SORBS2	LARP1
SORBS2	DHX15
SORBS2	EML4
SORBS2	SMTN
SORBS2	SPTAN1
TPCN1	SLC8A3
TPCN1	TMOD3
TPCN1	CACNA2D2
TPCN1	RYR2
TPCN1	INS
GCG	ZEB1
GCG	INS
GCG	FZD4
GCG	HRH2
GCG	VEGFA
GCG	KCNMA1
SORL1	AURKA
SORL1	NOG
SORL1	APP
RYR2	OBSL1
RYR2	ZEB1
RYR2	KCNMA1
RYR2	TMOD3
RYR2	SLC8A3
RYR2	MYL2
RYR2	GNAI2
RYR2	PLAG1
RYR2	APOA1
PIK3R1	HNF1A
PIK3R1	ESR1
PIK3R1	APP
PIK3R1	LCK
PIK3R1	FZD4
PIK3R1	IGHV3-33
PIK3R1	ZEB1
PIK3R1	GNB5
PIK3R1	SMAD1
PIK3R1	CRKL
PIK3R1	LYN
PIK3R1	NTN4
PIK3R1	VEGFA
PIK3R1	SH3KBP1
PIK3R1	EPHB3
PIK3R1	TGFA
PIK3R1	DVL3
COQ8B	C1QBP
DHX15	NCL
DHX15	HNRNPM
DHX15	MTF1
DHX15	ESR1
DHX15	OBSL1
DHX15	SMTN
DHX15	TMOD3
DHX15	SPTAN1
DHX15	CUL7
DHX15	PPIL2
DHX15	TRAP1
DHX15	SNW1
DHX15	PPIL6
SLC25A5	HNRNPM
SLC25A5	PWP1
SLC25A5	GNAL
SLC25A5	RNF31
SLC25A5	GNAI2
SLC25A5	CUL7
SLC25A5	ESR1
SLC25A5	NCL
DVL3	NTF4
DVL3	IGHV3-11
DVL3	FGF5
DVL3	IGHV3-33
DVL3	SNW1
DVL3	FZD4
DVL3	SH3KBP1
DVL3	IGHG3
DVL3	VEGFA
DVL3	SHC1
DVL3	GNB5
DVL3	TGFA
TSC22D1	PLAG1
TSC22D1	INS
TSC22D1	LEF1
TSC22D1	HNRNPM
