#tail	head
MAPK8IP2	SPSB3
ZBTB14	PPA2
ZBTB14	ENKD1
PPA2	MTHFD1L
PPA2	PHKA2
PPA2	PCK1
SPSB3	ENKD1
EEF1A1	CUL2
EEF1A1	MGMT
SLC34A1	MTHFD1L
SLC34A1	PHKA2
SLC34A1	GRIN1
SLC34A1	PCK1
CUL2	PFKFB3
CUL2	PHKA2
SYT2	ATF4
SYT2	INPP5J
PFKFB3	PCK1
PFKFB3	PFKFB1
PFKFB3	MTHFD1L
PFKFB3	PHKA2
MTHFD1L	PHKA2
MTHFD1L	PCK1
MTHFD1L	INPP5J
MTHFD1L	PFKFB1
ATP5MG	PON1
INPP5J	PHKA2
INPP5J	PCK1
GLB1	UGT1A10
GLB1	SFXN5
PFKFB1	PCK1
PFKFB1	PHKA2
MGMT	HSD17B1
MGMT	CGB3
PON1	SFXN5
PON1	ATF4
ZNHIT3	CGB3
ZNHIT3	HSD17B1
CGB3	HSD17B1
CGB3	UGT1A10
CGB3	PCK1
GRIN1	ASIC4
HSD17B1	PCK1
HSD17B1	UGT1A10
PHKA2	PCK1
