#tail	head
ARFGEF2	GYPB
TEC	PIP5K1B
TEC	IGLV1-47
TEC	FGF22
TEC	ITPR3
TEC	PIK3R4
TEC	EPO
ITGA4	HSPA1B
ITGA4	AP2B1
ITGA4	SLC2A1
ITGA4	HNRNPH1
ITGA4	ADAM28
ITGA4	SHC3
ITGA4	AFDN
PLCG2	SHC3
PLCG2	FGF9
PLCG2	NPM1
MOB1A	FAM9B
CCNH	POLE3
HNRNPC	RPSA
HNRNPC	YBX1
HNRNPC	SEC23B
HNRNPC	PAPOLA
HNRNPC	SMN2
HNRNPC	CTTN
HNRNPC	UBC
HNRNPC	BRCA1
HNRNPC	PRPF6
HNRNPC	POLR2D
CHEK2	HIST1H2BA
CHEK2	RPS27A
CHEK2	CCAR2
HIST1H2BN	RAD21
HIST1H2BN	EWSR1
HIST1H2BN	BRCA1
HIST1H2BN	H3F3B
ANKFY1	ATG101
GDF7	AGTR2
GDF7	GDF2
CDC42BPA	HNRNPL
SP1	AP1S1
SP1	PIP4K2A
SP1	FGF22
SP1	DDX6
SP1	ACTN4
SP1	BDNF
SP1	ATP7A
SP1	SAFB
SP1	NHEJ1
SP1	MORF4L2
SP1	HCST
SP1	FLOT1
SP1	SLC9A7
SP1	GTPBP3
SP1	KAT5
SP1	REL
SP1	STRN3
SP1	ZBTB43
SP1	BRCA1
SP1	EPOR
SP1	YBX1
MAPK9	H3F3B
MAPK9	FOSL2
MAPK9	CSNK1E
MAPK9	PTK2
POLR2D	WDR77
POLR2D	HIST2H3A
POLR2D	JUN
POLR2D	HNRNPL
POLR2D	RAD50
POLR2D	YBX1
POLR2D	H3F3B
POLR2D	SRRM2
POLR2D	KAT5
POLR2D	TOP3A
UBE2D1	UBC
NRXN1	JUN
SERP2	SLC30A4
UBQLN1	NPM1
UBQLN1	GRM2
CSNK1E	CDH1
SLC30A4	APOA1
SLC30A4	PTK2
SLC30A4	TP53
SLC30A4	CDH1
ITGB2	COL9A2
ITGB2	SHC3
ITGB2	HSP90AB1
HIST1H3A	HNRNPL
HIST1H3A	MEIS1
HIST1H3A	PHF19
HIST1H3A	COPRS
HIST1H3A	HIST2H2AA3
HIST1H3A	FLOT1
HIST1H3A	MCM3
HIST1H3A	RPL7A
HIST1H3A	RAD50
HIST1H3A	TMPO
HIST1H3A	HIST1H2BA
MLF2	GNB5
OLIG1	HCK
C1QBP	SAFB
C1QBP	KRT1
C1QBP	RAD21
C1QBP	NPM1
C1QBP	SEPT2
C1QBP	RPL15
C1QBP	HNRNPL
C1QBP	OXCT1
C1QBP	MAST3
C1QBP	HSPA1B
C1QBP	SEC13
ITPR3	GNB5
ITPR3	IGLV1-47
ITPR3	IGKV1-5
ITPR3	TNNT3
ITPR3	EPOR
MCM3	HSPA1B
MCM3	SEPT2
MCM3	RUVBL2
CCDC36	DGCR6
IQGAP1	SMN2
IQGAP1	ARAF
IQGAP1	PTK2
IQGAP1	SEC23B
IQGAP1	SEC13
MEOX2	MEIS1
CD59	AP2B1
CD59	SMAD4
ACTR3	RPS27A
ACTR3	HNRNPL
ACTR3	CCT7
ACTR3	CDH1
ACTR3	AREG
CCAR2	FOXP3
CCAR2	SAFB
CCAR2	RUVBL2
CCAR2	RAD21
CCAR2	SEPT2
NAALADL2	CUL3
SEC23B	AP2B1
SEC23B	CUL3
SEC23B	HSPA1B
SEC23B	RALY
SEC23B	CTNNA1
SEC23B	SRPK2
RPL7A	NPM1
RPL7A	TP53
RPL7A	WDR77
RPL7A	EWSR1
RPL7A	HSP90AB1
RPL7A	CDH1
PIK3R6	FGF9
PIK3R6	PIP5K1C
PIK3R6	RPS27A
PIK3R6	IGLV1-47
PIK3R6	IGKV1-5
VEGFC	PTGS2
VEGFC	AGTR2
HIST1H2BA	H3F3B
HIST1H2BA	NPM1
HIST1H2BA	AHR
HIST1H2BA	RAD50
HIST1H2BA	HIST2H2AA3
HIST1H2BA	RUVBL2
HIST1H2BA	HIST2H3A
HIST1H2BA	MEIS1
SNU13	EXOSC1
PPM1D	MEIS1
SMN2	HNRNPL
SMN2	SEPT2
SMN2	CTNNA1
SMN2	G3BP1
SMN2	ATP1B3
SMN2	PPP1R15A
SMN2	CDH1
SMN2	SEC13
DGCR6	GOLGA2
DOCK2	KHDRBS2
EPO	GRM2
EPO	TP53
EPO	IGHV2-5
EPO	FYN
EPO	PTGS2
EPO	PTPN6
HIST1H2AJ	PHF19
HIST1H2AJ	BRCA1
HIST1H2AJ	KAT5
HIST1H2AJ	ITGA2B
HIST1H2AJ	RAD21
HIST1H2AJ	COPRS
HIST1H2AJ	CBX3
FGF22	IGHG2
FGF22	AREG
FGF22	IGHV2-5
BSG	PRPF6
BSG	IPO11
BSG	RIF1
BSG	EWSR1
SPTBN4	GOLGA2
SPTBN4	JUN
SPTBN4	HNRNPL
SPTBN4	HOMER1
COL8A2	ITGA2
COL8A2	PTK2
ACVR2B	GDF2
NUMB	CDH1
NUMB	CTNNA1
NUMB	RPSA
AP1M1	SRPK2
AP1M1	ITGA2
AP1M1	BRCA1
AP1M1	KIAA1551
AP1M1	CDH1
C11orf58	OXCT1
C11orf58	EWSR1
FOXP3	RUNX1
IGKV1-5	FYN
IGKV1-5	FGF9
GTPBP3	ELAVL2
GTPBP3	GLYR1
FYN	ITGA1
FYN	COL11A1
FYN	EPOR
FYN	G3BP1
FYN	HCK
FYN	ITGB3
FYN	IGLV1-47
FYN	IGHV1-46
FYN	BTK
FYN	IGHV2-5
FYN	SHC3
FYN	CTTN
FYN	H3F3B
PIK3R4	IGHV1-46
PIK3R4	IGLV1-47
KHDRBS2	WDR77
KHDRBS2	SAFB
KHDRBS2	YBX1
BRCA1	RAD21
BRCA1	KPNA2
BRCA1	AP2B1
BRCA1	TUBA1C
BRCA1	HIST1H3C
BRCA1	PSMC4
BRCA1	RPS27A
BRCA1	RALY
BRCA1	NHEJ1
BRCA1	KAT5
BRCA1	FOSL2
BRCA1	DDX6
H2AFY2	HNRNPL
PIP5K1B	BDNF
PIP5K1B	GNB5
SLC39A4	CDH1
SLC39A4	HSPA1B
SLC39A4	KRT1
SLC39A4	ORM2
SLC39A4	SHBG
RPSA	RPS27A
RPSA	HSP90AB1
RPSA	CCT4
RPSA	JUN
RPSA	SLC2A1
RPSA	EWSR1
RPSA	TP53
RPSA	AP2B1
RPSA	KRT1
RPSA	YBX1
RPSA	CTNNA1
G3BP1	KPNA2
G3BP1	SRRM2
G3BP1	UBC
G3BP1	CTTN
G3BP1	HIST2H2AA3
G3BP1	HIST2H3A
G3BP1	YBX1
SEPT2	NPM1
SEPT2	HNRNPL
SEPT2	AP2B1
SEPT2	SRRM2
