#tail	head
HCFC1	RBBP5
ZIC5	FOXJ1
TGFA	ATG5
TGFA	LRIG1
TGFA	SEC13
FGFR4	SRC
FGFR4	NOG
FGFR4	ESR2
FGFR4	TEAD2
ONECUT1	ZC4H2
FOXO4	ESR2
FOXO4	XPO1
FOXO4	INS
FOXO4	LMO2
FOXO4	TEAD2
FOXO4	HSPA2
RAB8A	NEDD1
LRIG1	INS
TRIM6	NOG
RAB10	ESR2
EGR1	INS
EGR1	ESR2
RBBP5	CXXC1
NOG	HSPA2
NOG	MLF1
NOG	POU3F2
NOG	JUN
NOG	LMO2
NOG	HDAC5
SFRP5	LMO2
PTPRCAP	POU3F2
PTPRCAP	MYO1C
NCKAP1	PIP5K1B
PIP5K1B	SEMA3E
PIP5K1B	PIK3R6
PIP5K1B	LMO2
HIST1H4J	LRWD1
HIST1H4J	SRC
HIST1H4J	HDAC5
HIST1H4J	CBX1
XPO1	TNIP1
XPO1	PMF1
XPO1	JUN
SNX3	ATG5
PRKACG	INS
PRKACG	SRC
ZNF250	ZC4H2
FOXJ1	POU3F2
FOXJ1	XYLT2
FOXJ1	HSPA2
TNFAIP3	TNIP1
CNOT6L	JUN
ESR2	SEC13
ESR2	MEOX2
ESR2	ATP5MF
MLF1	INS
MLF1	MEOX2
MLF1	SPC24
PMF1	SEC13
ATP5MF	ATG5
INS	PES1
INS	MYO1C
INS	TLR3
INS	CBX1
INS	JUN
CEP44	GLI3
MEOX2	HSPA2
MEOX2	ATG5
SEC13	SRC
SRC	BID
TLR3	TBK1
ATG5	JUN
