#tail	head
HAMP	IREB2
ATF2	CEBPB
ATF2	GDI1
HIST1H4D	XPO7
HIST1H4D	ESR2
HIST1H4D	NEB
HIST1H4D	RUNX1
HIST1H4D	TTF1
HIST1H4D	TWISTNB
HIST1H4D	MTA3
HIST1H4D	POLR1E
HIST1H4D	IL6
HIST1H4D	MSL2
HIST1H4D	NCAPD3
SNAP23	ESR2
SNAP23	RAB9A
SNAP23	TGOLN2
HIST1H4I	IL6
HIST1H4I	TWISTNB
HIST1H4I	MSL2
HIST1H4I	BRCA1
HIST1H4I	HIST3H2A
HIST1H4I	GRB2
HIST1H4I	ESR2
HIST1H4I	TTF1
HIST1H4I	COPS2
HIST1H4I	XPO7
HIST1H4I	MTA3
IL13RA2	GRB2
IL13RA2	ERF
IL13RA2	IL6
STX8	RAB9A
NEB	RYR1
NEB	TPCN2
NEB	HIST2H4A
NEB	SLC8A3
PSMC1	MDM2
HIST3H2A	BRCA1
HIST3H2A	HIST2H4A
HIST3H2A	MTA3
PTCH1	RUNX1
PTCH1	CEBPB
GABPA	CIAO2B
GABPA	CD79B
GABPA	VASP
GABPA	ESR2
GABPA	CDC5L
GABPA	SHC1
RUNX1	NEFL
RUNX1	CEBPB
PHKG1	GCLC
POLR1E	ESR2
POLR1E	TWISTNB
IL6	STAR
IL6	SHC1
IL6	VAV1
IL6	OXT
IL6	EDN1
IL6	VEGFA
MDM2	ESR2
MDM2	MTA3
MDM2	BRCA1
BRCA1	ESR2
BRCA1	FGF8
BRCA1	TFAP2C
BRCA1	INPP1
BRCA1	CEBPB
NEFL	SLC8A3
NEFL	SLC13A2
NEFL	SLC24A2
NEFL	GGT3P
NEFL	SLC7A6
NEFL	FGF8
HIST2H4A	GRB2
HIST2H4A	TTF1
HIST2H4A	TWISTNB
HIST2H4A	NCAPD3
TFAP2C	ERF
TFAP2C	IGF2BP1
XPO7	PDPK1
XPO7	NXF1
XPO7	ESR2
VASP	NXF1
VASP	ESR2
PLTP	ITPRIP
VEGFA	GRB2
VEGFA	GRM8
VEGFA	STAR
VEGFA	FGF8
VEGFA	SLC13A2
VEGFA	PDPK1
VEGFA	SHC1
MSL2	ESR2
DENND6A	TGOLN2
DENND6A	TPCN2
DENND6A	DLK1
CD79B	KLRK1
CD79B	FGF8
CD79B	ITPRIP
CD79B	ESR2
SHC1	PDPK1
SHC1	NXF1
SHC1	KLRK1
SHC1	FGF8
SHC1	ESR2
CDC20	GCLC
CDC20	CDC5L
GRM8	GGT3P
GRM8	OXT
ADPGK	DLK1
KLRK1	PDPK1
KLRK1	VAV1
KLRK1	GRB2
KLRK1	ESR2
GCLC	FCN3
GCLC	EDN1
ANXA6	SLC8A3
ANXA6	GRB2
SLC24A2	FCN3
SLC24A2	SLC7A6
SLC24A2	SLC9A3
EDN1	NQO1
EDN1	CEBPB
EDN1	SLC9A3
SLC8A3	RYR1
SLC8A3	TPCN2
OBSCN	NXF1
PDPK1	IGLV3-19
PDPK1	GRB2
PDPK1	ESR2
PDPK1	VAV1
ORC6	CDC5L
OXT	ESR2
ESR2	STAR
ESR2	CEBPB
ESR2	FGF8
ESR2	SLC7A6
ESR2	VAV1
ESR2	NXF1
ESR2	ARF4
ESR2	CDC5L
ESR2	IGLV3-19
IGLV3-19	VAV1
IGLV3-19	FGF8
IGLV3-19	GRB2
GRB2	FGF8
GRB2	VAV1
GRB2	TGOLN2
NCAPD3	NXF1
CDC5L	MTA3
NXF1	IGF2BP1
PAAF1	COPS2
FGF8	VAV1
FGF8	CEBPB
TPCN2	RYR1
SLC9A3	SLC13A2
CEBPB	ERF
TTF1	MTA3
SLC13A2	TWISTNB
