#tail	head
IKZF3	FARS2
PAICS	FN1
PAICS	SMN1
TOP1	HIST1H3G
TOP1	TOP2B
GPIHBP1	APOC3
HIST1H4I	OBSL1
HIST1H4I	SMN1
HIST1H4I	HIST1H2BE
HIST1H4I	GATA1
HIST1H4I	FN1
HIST1H4I	TCF4
HIST1H4I	SEC23A
HIST1H4I	HIST1H1B
HIST1H4I	HIST1H3A
HIST1H4I	SSRP1
SEC23A	EMD
SEC23A	HIST1H4H
SEC23A	GNAI3
DRD1	LIF
DRD1	IFNA8
SPATA31A7	APOC3
RPS9	HIST1H2BE
RPS9	FN1
RPS9	HIST1H3G
RPS9	MCM2
HIST1H2BE	HIST1H3C
HIST1H2BE	CBX6
HIST1H2BE	GATA1
HIST1H2BE	HIST1H3G
HIST1H2BE	SAP30L
POU2F3	GATA1
MCM2	SSRP1
MCM2	HIST1H4H
MCM2	OBSL1
LYAR	COPS5
SSRP1	HIST1H3A
SSRP1	COPS5
DNTTIP2	HIST1H3C
DNTTIP2	HIST1H4H
DNTTIP2	HIST1H3A
HIST1H4H	SAP30L
HIST1H4H	HIST1H3A
HIST1H4H	CBX6
HIST1H4H	COPS5
HIST1H4H	DNMT3B
HIST1H4H	FN1
HIST1H3G	CREBBP
HIST1H3G	SAP30L
HIST1H3G	ASH1L
APOC3	APOE
LIF	OSMR
GNAI3	SMN1
USP14	CREBBP
DDX39A	EMD
SAP30L	HIST1H3A
CBX6	HIST1H1B
CBX6	HIST1H3C
CBX6	NUFIP2
ACTR1A	MYH10
MYH10	HIST1H3C
MYH10	FN1
MYH10	COPS5
MYH10	TOP2B
SNW1	HIST1H1B
SNW1	EMD
SNW1	NUFIP2
SNW1	APOE
HIST1H2AE	COPS5
HIST1H2AE	HIST1H1B
HIST1H2AE	HIST1H3A
HIST1H2AE	GATA1
COPS5	SNRNP200
HIST1H3A	EMD
KIF9	ZC2HC1C
LPL	APOE
LPL	GSN
CITED4	GATA1
GSN	CYP19A1
GSN	APOE
OBSL1	EMD
VDAC1	EMD
MESD	ASH1L
EMD	SMN1
EMD	HIST1H3C
NUFIP2	TCF4
SLC9A8	APOE
SLC9A8	FN1
MED1	CREBBP
MED1	CYP19A1
CYP19A1	NDUFS3
GATA1	HIST1H3C
GATA1	PRSS1
GATA1	CREBBP
HIST1H3C	HIST1H1B
HIST1H1B	SMN1
