#tail	head
LGALS12	ALX1
BRINP1	MAZ
CD4	UBB
CD4	CAMK2A
CD4	BTRC
CD4	PIK3CA
DUSP19	EPHB2
HIST1H1A	HIST1H4B
HIST1H1A	DDB1
HIST1H1A	SP1
HIST1H1A	PARP1
HIST1H4B	IVL
HIST1H4B	RARG
HIST1H4B	CCNA2
HIST1H4B	HIST2H3D
HIST1H4B	HDAC3
HIST1H4B	CES1
HIST1H4B	HCFC1
HIST1H4B	HIST1H3G
HIST1H4B	TRIM33
SP1	HDAC3
SP1	PTPN6
SP1	POLR2I
SP1	RPS27A
SP1	PPP2R2B
SP1	CREB3
SP1	IL11
SP1	PITX2
SP1	SLC40A1
SP1	SLCO1B3
SP1	BCL2
SP1	PARP1
SP1	TRIM33
SP1	DDOST
SP1	CCT2
SP1	LMAN1
SP1	COPS4
SP1	CXCL8
SP1	SOD1
SP1	EPHB2
PIK3R1	EPHB2
PIK3R1	CD36
PIK3R1	PTK2
PIK3R1	DNM1
PIK3R1	UBB
LCE1A	SPRR2D
TDRD7	PITX2
TDRD7	MSH2
UBE2D2	NFKBIA
UBE2D2	RPS27A
UBE2D2	ZPR1
SLC40A1	SOD1
SLC40A1	UBB
SLC40A1	RPS27A
IL11	TP53
IL11	IRF2
IL11	IL4R
PAGR1	HIST1H3G
PAGR1	RARG
PAGR1	MAZ
PAGR1	POLR2H
RNASET2	TRIM25
PSMB3	HIST1H3G
PSMB3	RPS27A
PSMB3	PITX2
PSMB3	CCNA2
PSMB3	PSMF1
PSMB3	TP53
ANXA8L1	ACD
HMGCR	PARP1
HMGCR	AKR1B1
HMGCR	AKR1C2
MLF2	CIAO2B
MLF2	RIPK4
SELE	PRKCA
SELE	PTK2
RRAGB	TSC2
AKR1C2	CYP2C9
AKR1C2	ESR2
AKR1C2	HNF4A
AKR1C2	TP53
AKR1C2	SOD1
AKR1C2	TNF
PLPP6	FAM210B
PLPP6	GHRL
SOD1	PRKCA
SOD1	CXCL8
SOD1	ESR2
SOD1	NOS1
SOD1	CFTR
SOD1	CAT
SOD1	BCL2
SOD1	TNF
C15orf48	MCCC1
AURKC	NFKBIA
MITF	IRF2
COPS6	TP53
COPS6	COPS7A
COPS6	CCNA2
COPS6	FBXL12
IRF2	ROCK1
ARL8A	ESR2
PPP2R2B	TP53
PPP2R2B	TCF3
PPP2R2B	HCFC1
PPP2R2B	RPS27A
CASP14	TRIM25
CASP14	TCF3
CASP14	SPRR2D
CASP14	CFTR
IVL	ACD
HIST2H3D	BRCA1
HIST2H3D	HDAC2
HIST2H3D	BCL2
HIST2H3D	APCS
CORO1A	TCF3
COMMD4	BTRC
COMMD4	COPS4
COMMD4	COPS7A
COMMD4	TIPRL
COMMD4	RPS27A
COMMD4	COMMD1
COMMD4	TRIM25
SMCHD1	HIST1H3G
HIST1H3G	ROCK1
HIST1H3G	ELP1
HIST1H3G	POLR2I
HIST1H3G	HIST1H2AK
HIST1H3G	HSPD1
HIST1H3G	TRIM33
HIST1H3G	RPS27A
HIST1H3G	BCL2
HIST1H3G	HDAC3
RIPK4	AMBRA1
RIPK4	HSPA8
RIPK4	FKBP5
RIPK4	TCF3
BRCA1	ESR2
BRCA1	POLR2I
BRCA1	TRIM25
BRCA1	HIST1H4D
BRCA1	HSPD1
BRCA1	RPS27A
BRCA1	STAT3
BRCA1	COMMD1
BRCA1	AQR
BRCA1	HCFC1
BRCA1	TNF
BRCA1	BCL2
UGT2B17	CYP2C9
UQCRH	HNF4A
DYNLL1	NOS1
DYNLL1	ATG13
DYNLL1	TMEM216
PARP1	BMP15
PARP1	TP53
PARP1	NOS1
PARP1	HSPA8
CCNA2	TP53
CCNA2	ESR2
CCNA2	HDAC2
CCNA2	HIST1H4D
CCNA2	TRIM33
CCNA2	RPS27A
RARG	TCF3
RARG	HDAC3
ZPR1	UFC1
ALX1	NOS1
ALX1	APCS
IL4R	TNF
IL4R	PIK3CA
ROCK1	PTK2
ROCK1	HNF4A
ROCK1	MAZ
ROCK1	TNF
RYK	EPHB2
RYK	STAT3
TAB3	TNF
TAB3	TCF3
TAB3	RPS27A
NOS1	PTK2
NOS1	CFTR
NOS1	RPS27A
HSPD1	PTK2
HSPD1	AMBRA1
HSPD1	EFTUD2
HSPD1	TRIM25
EEF1AKMT3	HSPA8
EEF1AKMT3	TIPRL
FKBP5	HSPA8
FKBP5	TRIM25
FKBP5	TP53
PSMF1	UBB
PSMF1	TNF
PSMF1	HNF4A
ESR2	PSMA2
ESR2	CUEDC1
ESR2	ATM
ESR2	CYCS
ESR2	RPS27A
ESR2	HPS3
ESR2	BCL2
ESR2	AQR
ESR2	PIK3CA
ESR2	NLE1
DNM1	CXCL8
DNM1	RPS27A
DNM1	MYO6
DNM1	CFTR
DNM1	PRKCA
PITX2	CREB3
PITX2	HSPA8
PRKCA	PIK3CA
PRKCA	CYP2C9
FMO1	CREB3
EPHB2	PIK3CA
EPHB2	ZEB1
CFTR	CAT
CFTR	HDAC2
CFTR	MYO6
CFTR	CYP2C9
RASA3	PSMD2
COPS4	SOCS5
COPS4	RPS27A
COPS4	TP53
HCFC1	HIST1H2AK
HCFC1	GABPB1
HCFC1	HCFC1R1
HIST1H4D	HDAC2
HIST1H4D	SMARCC2
HIST1H4D	ATM
ALG13	B3GALNT1
BTRC	NFKBIA
BTRC	TRIM25
BTRC	COMMD1
BTRC	TP53
BTRC	CCT2
PLSCR1	HNF4A
CAMKK1	DDB1
CAMKK1	FBXL6
CAMKK1	TCF3
COPS7A	MAZ
COPS7A	PSMD2
TRIM33	FGA
TRIM33	TCF3
TRIM33	MAZ
TRIM33	SMARCA2
PSMA2	AMBRA1
PSMA2	HSPA8
RNF39	MAZ
CXCL12	TNF
AKR1B1	CYBRD1
AKR1B1	BCL2
AKR1B1	HNF4A
HCFC1R1	MAZ
CYCS	PTK2
CYCS	NFKBIA
CYCS	BCL2
CYCS	PIK3CA
CUEDC1	TCF3
CUEDC1	ZEB1
UBB	ACD
UBB	POLR2I
UBB	PSMD2
UBB	PIK3CA
UBB	TRIM25
TRIM25	STAT3
TRIM25	EFTUD2
TRIM25	RPS27A
TRIM25	HSPA8
RPS27A	UFC1
RPS27A	POLR2H
RPS27A	PSMD2
RPS27A	TCF3
RPS27A	AQR
RPS27A	EFTUD2
RPS27A	HSPA8
POLR2I	POLR2H
POLR2I	HSPA8
PMPCA	TIMM23
SLC25A6	HSPA8
SLC25A6	TNFRSF1A
SMARCC2	TCF3
SMARCC2	ATM
SMARCC2	HDAC2
SMARCC2	CCT2
CAMK2A	STAT3
CD36	CROT
POLR2H	DDB1
POLR2H	HNF4A
POLR2H	SYF2
DHDH	CYP2C9
COMMD1	DDB1
COMMD1	SOCS5
ABRAXAS2	PSMD2
CCT2	AMBRA1
CCT2	EFTUD2
CCT2	PSMD2
TIPRL	HNF4A
DDOST	TNFRSF1A
DDOST	EFTUD2
PTPN6	PSMD2
PTPN6	STAT3
HNF4A	ZEB1
HNF4A	TNF
HNF4A	BMP15
HNF4A	SYF2
HNF4A	ACD
HNF4A	MCCC1
HNF4A	ATM
HNF4A	DDB1
HNF4A	TCF3
ZNF277	ZEB1
ZNF277	PIK3CA
BMP15	PTK2
ATM	TP53
HSPA8	EFTUD2
HSPA8	TNFRSF1A
HSPA8	PIK3CA
AMBRA1	PSMD2
MYO6	DDB1
EFTUD2	HDAC2
EFTUD2	PSMD2
EFTUD2	DDB1
CYBRD1	HDAC2
CYBRD1	CREB3
TP53	DDB1
TP53	CAT
TP53	BCL2
TP53	STAT3
TP53	CES1
TP53	PSMD2
TNF	BCL2
TNF	FGA
TNF	TNFRSF1A
TNF	CYP2C9
HDAC3	TNFRSF1A
HDAC3	TCF3
HDAC3	HDAC2
HDAC3	HIST1H2AK
HDAC3	NFKBIA
DDB1	AQR
MCCC1	RARS2
ZEB1	STAT3
CXCL8	CAT
FBXL6	TCF3
FGA	PTK2
SYF2	PIK3CA
SYF2	AQR
MAZ	TCF3
STAT3	MSH2
PTK2	TNFRSF1A
PTK2	NFKBIA
BCL2	CAT
BCL2	TCF3
TNFRSF1A	CYP2C9
PIK3CA	HIST1H2AK
NFKBIA	CYP2C9
SMARCA2	TCF3
TCF3	HDAC2
