#tail	head
VAMP2	SH3D19
SMN2	SORBS2
SMN2	SORBS1
SMN2	SNU13
PFKFB3	SP1
ACTC1	SH3GL1
ACTC1	GRB2
ACTC1	SP1
C5	MYC
PAXIP1	BABAM1
PAXIP1	HIST1H2BM
PAXIP1	PKP4
ASB1	CAND1
ASB1	PFN1
TBC1D4	JUN
NUFIP1	SNU13
TUBB1	SLC25A5
TUBB1	HIST1H2BM
ZFYVE21	MYC
SORBS1	SRRM2
SORBS1	EIF3D
PKP4	ESR2
SORBS2	SNW1
SORBS2	EIF3D
HIST1H2BM	JUN
HIST1H2BM	HIST1H3A
CKAP4	CUL7
CKAP4	SRRM2
CKAP4	MYC
CSNK1D	CTTN
CSNK1D	SH3GL1
CSNK1D	ATOH1
CSNK1D	SP1
RRP1	SNU13
SP1	SLC25A5
SP1	PFN1
SP1	CHD3
SP1	TRIM25
SP1	USP3
ATOH1	SRRM2
ATOH1	NT5DC2
MRPS18A	MRPL4
MRPS18A	MRPL47
MRPS18A	MRPL48
PFN1	CUL7
PFN1	TRIM25
PFN1	MYC
NES	ATP9A
WDR43	MAPK3
WDR43	SNU13
CCDC167	TMEM237
EIF3D	USP3
CYP1A2	ESR2
TRIM25	CAND1
TRIM25	PTPN3
CUL7	SRRM2
PPAN	CAND1
SNW1	JUN
SNW1	HIST1H3A
SNW1	NSF
GNPDA1	SH3GL1
CTTN	CHD3
CTTN	NSF
CAND1	MRPL4
CAND1	ESR2
MAPK3	S100B
MAPK3	GRB2
MRPL4	MRPS18C
DAP3	ESR2
DAP3	JUN
NUDT10	JUN
HIST1H3A	JUN
HIST1H3A	MYC
HIST1H3A	CHD3
NDE1	TRIM27
NDE1	ESR2
BABAM1	TRIM27
PTPN3	MTHFD1
PTPN3	SH3GL1
NSF	MTHFD1
NSF	MYC
APPBP2	PYROXD2
MTHFD1	JUN
MTHFD1	MYC
