#tail	head
ATAD3B	AIFM1
KLKB1	IL1A
KLKB1	SLC39A11
ATF2	CTNNB1
ATF2	WNT10A
ATF2	AEN
PMS2	HNF4A
CAPN1	YWHAQ
CAPN1	STAT3
CAPN1	ARF6
ITGA4	RPS19
ITGA4	ACO2
ITGA4	EEF1A1
ITGA4	APRT
ITGA4	HSPA8
ITGA4	SEC31A
SRP72	RPL3L
AGO1	POLR2C
MYO18A	TRAF6
MYO18A	IGHV3-9
MYO18A	FRS2
MYO18A	KITLG
USP15	USP47
CCNH	STAT3
RPRD1B	DHCR7
RPRD1B	MYL12B
TUBB1	TCP1
TUBB1	RPL14
E2F4	AK2
HIST3H3	TAF6L
WWP2	BABAM2
WWP2	UBC
WWP2	PTEN
WWP2	POLR2C
AIFM1	CYLD
AIFM1	UBC
AIFM1	PELO
KIF5A	HLA-DRA
CHRNB2	MYL12B
CHRNB2	MAPK3
CHRNB2	DLG1
PPP2R5D	UBC
SEC31A	ALDH5A1
NPC1	DHCR7
IL1RN	FGF9
POLR2D	RBMX
POLR2D	SRC
POLR2D	RNMT
CYP7B1	PPARG
ABCB1	JUN
ABCB1	MAPK3
ABCB1	PYGM
CITED1	CREBBP
ITGB3BP	RBL2
ITGB3BP	AR
ITGB3BP	FGF9
ITGB3BP	APP
CYP8B1	HSD3B1
PDE3B	STAT6
PDE3B	NME7
PSMD3	CYLD
PSMD3	PSMB1
A2M	PRAM1
A2M	PDGFB
HLA-DRB1	HSP90AB1
HLA-DRB1	RBL2
HLA-DRB1	HLA-DRA
HSCB	USP11
HSCB	GPN3
PYGM	ENTPD8
PYGM	EXOSC7
PYGM	CAD
PYGM	PDE4C
TSG101	UBC
LRRC8B	NOG
PSMB1	JUN
PSMB1	CYLD
RPS19	GNAI2
RPS19	YBX1
RPS19	HSP90AB1
CCND1	FGF8
CCND1	H2AFV
CCND1	MT1A
CCND1	JUN
MNAT1	HIST1H2BC
MNAT1	RARA
SLC24A2	CTNNB1
SLC24A2	NFIL3
NDST4	SDC2
NFIL3	PPARG
NFIL3	CX3CL1
AIRE	SRC
MAPK1	PRKCB
MAPK1	CAD
MAPK1	CREBBP
HIST1H3A	POLR1D
HIST1H3A	SPI1
