#tail	head
TRPC7	CACNA1D
KDM7A	HIST1H3H
SEC24C	GULP1
SEC24C	SDC4
SEC24C	HIST1H1B
CXCR1	EPO
CXCR1	GABBR1
CXCR1	CALM3
CXCR1	TGFA
CXCR1	CCL26
CXCR1	BMP10
CXCR1	TRPV6
TRPC4	EPO
TRPC4	GNAO1
TRPC4	PRKCB
REPIN1	SEMA7A
HIST1H1A	LMNA
HIST1H1A	DHX30
IRAK4	ETS1
IRAK4	PLCG1
IRAK4	UBE2V1
IFNA13	JAK3
IFNA13	FZD2
IFNA13	GCLC
TRIM28	LMNA
TRIM28	SDC4
UBE2D1	PLK1
ITGB8	SDC4
PPAT	GCLC
CENPH	HIST1H2AE
CENPH	TRIM36
CENPH	CUL4A
IGKV3-11	PRKCB
GABBR1	TGFA
GABBR1	TRPV6
GABBR1	GNAO1
ALPP	DHX30
CCAR2	NCAPG
CCAR2	SNRNP70
NCAPG	MED20
GABARAPL1	HSPA1B
GABARAPL1	LMNA
SNRNP70	POLR2A
DHX30	NF2
DHX30	HIST1H1B
DHX30	LMNA
CCL26	C3orf52
CCL26	GNA11
SERPINH1	SEMA7A
SERPINH1	HSPA1B
SERPINH1	INPP5A
UTY	HIST1H3H
EPO	FGFR3
EPO	INPP5A
UBE2V1	FBXW4
GNA11	SEMA7A
GNA11	PLCG1
GNA11	INPP5A
GNA11	CALM3
GNA11	FZD2
PLK1	BORA
PLK1	HIST1H3H
PLK1	ATP7A
POLDIP3	NUP62
POLDIP3	USP20
MDH1	HSPA1B
MDH1	SDC4
GAD2	CDO1
GAD2	NME5
GAD2	CAD
CTNNB1	KMT2A
CTNNB1	CAD
CTNNB1	CGB3
CTNNB1	LMNA
CTNNB1	TRPV6
HIST1H2AE	KMT2A
HIST1H2AE	LMNA
HIST1H2AE	HIST1H1B
HIST1H2AE	DPY30
JAK3	GSN
JAK3	ETS1
CACNA1D	ETS1
LIMS1	ZNF160
ATP7A	RPS27
ATP7A	GCLC
ATP7A	HIST1H1B
NXPH3	CUL4A
HIST1H1B	HIST1H3H
ZNF232	GSN
LMNA	SEMA7A
LMNA	HSPA1B
LMNA	C3orf52
TGFA	CALM3
TGFA	PIK3R3
PRKCB	FGFR3
PRKCB	FZD2
C2orf27A	ETS1
FZD2	BMP7
FZD2	GNAO1
FZD2	CALM3
FCN3	GCLC
FCN3	TRPV6
GSN	HIST1H3H
GSN	SEMA7A
ITGB3	GULP1
SLC30A9	GCLC
SLC30A9	HSPA1B
SLC30A9	CFI
POLR2A	HIST1H3H
POLR2A	MED20
GULP1	SEMA7A
INPP5A	PIK3R3
INPP5A	SEMA7A
INPP5A	GNAO1
CDY2B	CALM3
TRPV6	HSPA1B
TRPV6	CALM3
TRPV6	CFI
KMT2A	HIST1H3H
AGBL1	SLC25A12
ADCY4	GNAO1
CALM3	GNAO1
FGFR3	PLCG1
NF2	SLC25A12
NF2	GTPBP4
HSPA1B	CUL4A
