#tail	head
SLC6A6	SLC6A12
OR10G2	GNGT1
L3MBTL1	MCM6
L3MBTL1	MAX
L3MBTL1	INS
TAC1	LHX3
TAC1	MAX
GNG4	GNAO1
GNG4	FZD10
GNG4	GNGT1
GNG4	FZD2
GNG4	TREM2
GNG4	HTR3B
GNG4	CD3G
GNG4	IGLV3-27
LHX3	FZD10
LHX3	TBX6
SMO	INS
SMO	GNAO1
SMO	EDN2
SMO	SCT
SMO	ZEB1
MOV10	TAF1
MOV10	NFATC3
MOV10	ASB8
MOV10	CIPC
DNM3	NME2
DNM3	CD3G
DNM3	EPN2
FZD2	GNGT1
FZD2	GNG8
FZD2	ROR2
FZD2	GNAO1
FZD2	FGF20
FZD2	EDN2
ASB8	NXF1
ASB8	AK2
SDHAF3	SDHA
SDHAF3	ACP6
HNRNPM	NR5A1
HNRNPM	CDK2
HNRNPM	RPL23A
HNRNPM	RPS16
LRRFIP1	GNG8
LRRFIP1	TREM2
LRRFIP1	GNGT1
LRRFIP1	IGLV3-27
LRRFIP1	CD3G
MAX	CDK2
MAX	NR5A1
MAX	AK3
MAX	CIPC
MAX	NME2
MAX	TAF1
OR10AG1	GNGT1
OR10AG1	REEP4
GNAO1	CD3G
GNAO1	GNGT1
ACADL	SDHA
MCM6	CDK2
IGLV3-27	GNGT1
IGLV3-27	CD3G
IGLV3-27	TREM2
ZDHHC18	KLRG2
ZEB1	EPN2
ZEB1	EGFLAM
ZEB1	GNG8
ZEB1	TBX6
ZEB1	FGF20
SDHA	NXF1
TAF1	SLC1A5
TAF1	NXF1
TAF1	PPP3CA
KLRG2	PPP3CA
VCAM1	RPS16
VCAM1	AK2
VCAM1	RPL23A
VCAM1	INS
VCAM1	TFRC
CDK2	RPS16
CDK2	RPL23A
CUL7	SLC1A5
EPN2	CD3G
SPAG4	INS
ROR2	PTPN23
ROR2	NXF1
TREM2	GNGT1
TREM2	CD3G
RPS16	NME2
RPS16	FAM177B
RPS16	RPL23A
GNG8	FGF20
GNG8	HTR3B
GNG8	NTSR2
GNG8	NME2
GNG8	GNGT1
GNG8	FZD10
EDN2	GNGT1
EGFLAM	INS
COG8	GOSR2
COG8	TGOLN2
HTR3B	GNGT1
HTR3B	RASGRP4
HIP1	TGOLN2
HIP1	CD3G
EBAG9	TGOLN2
FGF20	CD3G
FGF20	GNGT1
INS	FZD10
INS	RASGRP4
INS	TIMM22
INS	AK3
INS	NXF1
SLC1A5	NME2
SLC1A5	SLC6A7
NME2	AK3
NME2	PTPN23
NME2	GNGT1
NME2	AK2
TGOLN2	TFRC
TGOLN2	PTPN23
TIMM22	REEP4
PPP3CA	CACNG7
PPP3CA	NFATC3
SLC6A7	CKMT2
GNGT1	REEP4
NFATC3	NXF1
