#tail	head
EXOSC8	HOXB9
MEF2D	MAPK14
BSG	NFKB1
BSG	COG2
BSG	SLC3A2
BSG	IL18
TP53	DDX3X
TP53	CEP152
TP53	KPNA4
TP53	IL18
TP53	GJA1
TP53	CREB1
TP53	NOS2
TP53	SLU7
TP53	NFKB1
TP53	ATP5PF
HOXB9	ZNF384
HNRNPK	NFKB1
HNRNPK	MCM2
HNRNPK	SRSF5
HNRNPK	DHX15
HNRNPK	LMNA
HNRNPK	SLU7
HNRNPK	WBP11
HAUS6	CEP152
HAUS6	TUBB4A
ATP1B3	SLC3A2
ATP1B3	ASIC2
ATP1B3	SCN11A
NOS2	SLC3A2
NOS2	MAPK14
NOS2	DDX3X
NOS2	MARC1
NOS2	PSMA3
NOLC1	DHX15
NOLC1	MCM2
HAS1	CREB1
SLC9A6	ASIC2
SLC9A6	SCN11A
SLC9A6	SLC3A2
MCM2	DDX3X
MCM2	PABPC4
MCM2	HIST1H1A
MCM2	ARG1
HIST1H1A	LMNA
HIST1H1A	KPNA4
HIST1H1A	CKB
HIST1H1A	GNL2
HIST1H1A	CBX1
SRSF4	DDX3X
SRSF4	LMNA
SRSF4	TXNL4A
HBP1	PABPC4
CREB1	MYOD1
CREB1	DDX3X
PSMA3	STX6
MDM2	GNL2
SNRNP40	TXNL4A
SNRNP40	SLU7
SNRNP40	HNRNPH2
SNRNP40	SRSF5
SNRNP40	DDX3X
DHX15	PABPC4
DHX15	TXNL4A
DHX15	HNRNPH2
DHX15	TMEM126B
DHX15	LMNA
DHX15	NCBP1
WDR46	GNL2
TXNL4A	NCBP1
TXNL4A	PCM1
TXNL4A	SLU7
TXNL4A	WBP11
KPNA4	CTSG
KPNA4	LMNA
KPNA4	NCBP1
ATP5PF	NFKB1
TUBB4A	MYOD1
TMEM126B	NDUFA13
NTN4	MYOD1
NTN4	COL6A2
IL18	HRAS
IL18	NFKB1
IL18	AOC3
IL18	MAPK14
SLU7	SRSF5
SLU7	LMNA
DDX3X	SRSF5
DDX3X	NCBP1
SCN11A	NKAIN2
REV3L	CBX1
NCBP1	SRSF5
NCBP1	CASC3
MYOD1	CBX1
MYOD1	ASIC2
COL6A2	ITGB3
HRAS	AOC3
HRAS	ITGB3
SRSF5	WBP11
AOC3	NFKB1
MARC1	NDUFB4
NFKB1	MAPK14
GNL2	LMNA
ASIC2	ZNF384
COG2	STX6
PABPC4	GSPT2
ARG1	CBX1
NDUFB4	NDUFA13
LMNA	STX6
