#tail	head
HEXB	SLC5A1
VAMP2	BCHE
VAMP2	SH3GL1
PRDX1	PRKCZ
YAP1	RPA1
YAP1	SEC13
YAP1	H1FX
YAP1	SPTAN1
HIST1H4I	HMOX1
HIST1H4I	SRC
HIST1H4I	SET
HIST1H4I	HIST2H2AA3
UBA52	RPL30
UBA52	RPA1
UBA52	CASC3
IGKV1-39	IGHV2-70
IGKV1-39	TRAF6
IGKV1-39	GNG11
UGT2B7	PRDX4
POLDIP3	KPNA3
POLDIP3	CASC3
POLDIP3	SEC13
OXCT2	BBOX1
PPM1B	ACTA1
PPM1B	MARK3
PPM1B	SPTAN1
PPM1B	HIST1H3E
HIST2H2AA3	CENPS
COQ2	SET
COQ2	H1FX
COQ2	ATP5F1E
GNG11	GNA14
GAPDHS	SYNJ1
EEF2	HSD17B10
EEF2	SEC13
EEF2	RNF2
H1FX	RPL30
GAB1	PRKCZ
GAB1	NCK2
ZIC1	NFKBID
BCHE	SCGB1D4
BCHE	PLD1
RPL8	SPCS2
RPL8	PES1
RHEX	SH3GL1
BZW1	SPTAN1
BZW1	SRC
BZW1	SH3GL1
NCK2	CEP19
GNL3	CEP19
GNL3	RPL22
RPA1	PARP12
PARP12	RNF2
SET	SPTAN1
SET	XRCC6
KPNA3	SPTAN1
KPNA3	RAD52
KPNA3	SEC13
SPTAN1	SEC13
SPTAN1	SH3GL1
SPTAN1	XRCC6
SPTAN1	MAPK14
SPTAN1	SYNJ1
MAPK14	ACTA1
MAPK14	HMOX1
SYNJ1	GNA14
HMOX1	CPLX4
HMOX1	PLD1
XRCC6	SEC13
XRCC6	SH3GL1
SEC13	SRC
RNF2	HIST1H3E
SRC	PRKCZ
SCGB1D4	BACE1
QRFP	GNA14
RNH1	PRKCZ
ERBB2	ACTA1
PLD1	ACTA1
PLD1	PRKCZ
